Bundle_ID,Conference,Source_File,Page_Number,Raw_Header_Text,Gender_Normalized,Event_Normalized,Round_Normalized,Accepted_YN,Rejection_Reason,State_Action,Intervening_Line_Type,Dedupe_Key,Notes
bigeast_2026,Big East,big east 2026_full_results.pdf,1,Women 50 Yard Freestyle,women,50 Free,unknown,yes,,finalize+open_event,,women:50 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,1,Women 50 Yard Freestyle,women,50 Free,unknown,yes,,finalize+open_event,,women:50 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,2,Preliminaries ... (Women 50 Yard Freestyle),women,50 Free,unknown,yes,,finalize+open_event,,women:50 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,2,Women 100 Yard Freestyle,women,100 Free,unknown,yes,,finalize+open_event,,women:100 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,3,A - Final ... (Women 100 Yard Freestyle),women,100 Free,A,yes,,finalize+open_event,,women:100 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,4,Women 100 Yard Freestyle,women,100 Free,unknown,yes,,finalize+open_event,,women:100 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,5,Preliminaries ... (Women 100 Yard Freestyle),women,100 Free,unknown,yes,,finalize+open_event,,women:100 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,5,Women 200 Yard Freestyle,women,200 Free,unknown,yes,,finalize+open_event,,women:200 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,6,A - Final ... (Women 200 Yard Freestyle),women,200 Free,A,yes,,finalize+open_event,,women:200 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,6,Women 200 Yard Freestyle,women,200 Free,unknown,yes,,finalize+open_event,,women:200 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,7,Preliminaries ... (Women 200 Yard Freestyle),women,200 Free,unknown,yes,,finalize+open_event,,women:200 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,8,Preliminaries ... (Women 200 Yard Freestyle),women,200 Free,unknown,yes,,finalize+open_event,,women:200 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,8,Women 500 Yard Freestyle,women,500 Free,unknown,yes,,finalize+open_event,,women:500 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,9,A - Final ... (Women 500 Yard Freestyle),women,500 Free,A,yes,,finalize+open_event,,women:500 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,10,B - Final ... (Women 500 Yard Freestyle),women,500 Free,B,yes,,finalize+open_event,,women:500 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,10,Women 500 Yard Freestyle,women,500 Free,unknown,yes,,finalize+open_event,,women:500 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,11,Preliminaries ... (Women 500 Yard Freestyle),women,500 Free,unknown,yes,,finalize+open_event,,women:500 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,12,Preliminaries ... (Women 500 Yard Freestyle),women,500 Free,unknown,yes,,finalize+open_event,,women:500 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,13,Preliminaries ... (Women 500 Yard Freestyle),women,500 Free,unknown,yes,,finalize+open_event,,women:500 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,14,Women 1650 Yard Freestyle,women,1650 Free,unknown,yes,,finalize+open_event,,women:1650 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,15,(Women 1650 Yard Freestyle),women,1650 Free,unknown,yes,,finalize+open_event,,women:1650 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,16,(Women 1650 Yard Freestyle),women,1650 Free,unknown,yes,,finalize+open_event,,women:1650 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,17,(Women 1650 Yard Freestyle),women,1650 Free,unknown,yes,,finalize+open_event,,women:1650 Free,session=prelims
bigeast_2026,Big East,big east 2026_full_results.pdf,18,(Women 1650 Yard Freestyle),women,1650 Free,unknown,yes,,finalize+open_event,,women:1650 Free,session=prelims
