Conference,Gender,Event,Place,Time_Sec,Data_Quality
MIAC,men,50 Free,1,20.7,finals
MIAC,men,50 Free,2,20.83,finals
MIAC,men,50 Free,3,20.85,finals
MIAC,men,50 Free,4,20.9,finals
MIAC,men,50 Free,5,21.09,finals
MIAC,men,50 Free,8,21.31,finals
MIAC,men,50 Free,9,21.14,finals
MIAC,men,50 Free,10,21.5,finals
MIAC,men,50 Free,11,21.54,finals
MIAC,men,50 Free,12,21.63,finals
MIAC,men,50 Free,15,21.69,finals
MIAC,men,50 Free,16,21.8,finals
MIAC,men,50 Free,17,21.92,finals
MIAC,men,50 Free,18,22.02,finals
MIAC,men,50 Free,19,19.56,finals
MIAC,men,50 Free,20,20.14,finals
MIAC,men,50 Free,22,22.16,finals
MIAC,men,50 Free,23,22.24,finals
MIAC,men,50 Free,24,22.49,finals
MIAC,men,50 Free,27,22.66,finals
MIAC,men,50 Free,28,22.76,finals
MIAC,men,50 Free,29,22.79,finals
MIAC,men,50 Free,30,23.04,finals
MIAC,men,50 Free,31,23.15,finals
MIAC,men,50 Free,32,23.28,finals
MIAC,men,50 Free,33,23.63,finals
MIAC,men,50 Free,34,23.7,finals
MIAC,men,50 Free,35,24.22,finals
MIAC,men,50 Free,36,24.7,finals
MIAC,men,50 Free,37,25.05,finals
MIAC,men,50 Free,38,26.45,finals
MIAC,men,100 Free,1,45.26,finals
MIAC,men,100 Free,2,46.14,finals
MIAC,men,100 Free,3,46.4,finals
MIAC,men,100 Free,4,46.65,finals
MIAC,men,100 Free,5,46.93,finals
MIAC,men,100 Free,6,47.01,finals
MIAC,men,100 Free,7,47.08,finals
MIAC,men,100 Free,8,47.52,finals
MIAC,men,100 Free,9,46.13,finals
MIAC,men,100 Free,10,46.93,finals
MIAC,men,100 Free,11,47.03,finals
MIAC,men,100 Free,12,47.29,finals
MIAC,men,100 Free,13,47.91,finals
MIAC,men,100 Free,14,48.16,finals
MIAC,men,100 Free,15,48.6,finals
MIAC,men,100 Free,16,48.81,finals
MIAC,men,100 Free,17,48.55,finals
MIAC,men,100 Free,18,48.68,finals
MIAC,men,100 Free,19,49.1,finals
MIAC,men,100 Free,20,49.62,finals
MIAC,men,100 Free,21,50.24,finals
MIAC,men,100 Free,22,51.51,finals
MIAC,men,100 Free,23,51.86,finals
MIAC,men,100 Free,24,53.02,finals
MIAC,men,100 Free,25,54.97,finals
MIAC,men,100 Free,26,57.0,finals
MIAC,men,100 Free,27,61.51,finals
MIAC,men,100 Free,43,43.15,finals
MIAC,men,100 Free,44,44.44,finals
MIAC,men,200 Free,1,102.01,finals
MIAC,men,200 Free,2,102.7,finals
MIAC,men,200 Free,3,102.77,finals
MIAC,men,200 Free,4,104.26,finals
MIAC,men,200 Free,5,104.53,finals
MIAC,men,200 Free,6,105.21,finals
MIAC,men,200 Free,7,106.51,finals
MIAC,men,200 Free,8,106.78,finals
MIAC,men,200 Free,9,105.47,finals
MIAC,men,200 Free,10,106.3,finals
MIAC,men,200 Free,11,106.68,finals
MIAC,men,200 Free,12,109.74,finals
MIAC,men,200 Free,13,110.18,finals
MIAC,men,200 Free,14,110.87,finals
MIAC,men,200 Free,15,111.79,finals
MIAC,men,200 Free,16,113.02,finals
MIAC,men,500 Free,1,269.7,finals
MIAC,men,500 Free,2,280.76,finals
MIAC,men,500 Free,3,283.66,finals
MIAC,men,500 Free,4,284.46,finals
MIAC,men,500 Free,5,284.55,finals
MIAC,men,500 Free,6,287.38,finals
MIAC,men,500 Free,7,288.0,finals
MIAC,men,500 Free,8,288.44,finals
MIAC,men,500 Free,9,287.11,finals
MIAC,men,500 Free,10,288.47,finals
MIAC,men,500 Free,11,289.59,finals
MIAC,men,500 Free,12,289.79,finals
MIAC,men,500 Free,13,293.77,finals
MIAC,men,500 Free,14,294.47,finals
MIAC,men,500 Free,15,296.94,finals
MIAC,men,500 Free,16,297.05,finals
MIAC,men,500 Free,17,298.76,finals
MIAC,men,500 Free,18,304.19,finals
MIAC,men,500 Free,19,305.25,finals
MIAC,men,500 Free,20,306.89,finals
MIAC,men,500 Free,21,308.87,finals
MIAC,men,500 Free,22,326.18,finals
MIAC,men,500 Free,23,348.31,finals
MIAC,men,1650 Free,1,932.16,finals
MIAC,men,1650 Free,2,989.56,finals
MIAC,men,1650 Free,3,993.51,finals
MIAC,men,1650 Free,4,1001.13,finals
MIAC,men,1650 Free,5,1016.83,finals
MIAC,men,1650 Free,6,1028.58,finals
MIAC,men,1650 Free,7,1039.99,finals
MIAC,men,1650 Free,8,1041.68,finals
MIAC,men,1650 Free,9,1056.75,finals
MIAC,men,1650 Free,10,1061.85,finals
MIAC,men,1650 Free,11,1074.25,finals
MIAC,men,1650 Free,12,1081.63,finals
MIAC,men,1650 Free,13,1092.12,finals
MIAC,men,1650 Free,14,1105.0,finals
MIAC,men,1650 Free,15,1129.8,finals
MIAC,men,1650 Free,16,1418.58,finals
MIAC,men,100 Back,1,50.03,finals
MIAC,men,100 Back,2,50.86,finals
MIAC,men,100 Back,3,51.29,finals
MIAC,men,100 Back,4,51.33,finals
MIAC,men,100 Back,5,52.57,finals
MIAC,men,100 Back,6,52.66,finals
MIAC,men,100 Back,7,53.87,finals
MIAC,men,100 Back,8,54.19,finals
MIAC,men,100 Back,9,54.12,finals
MIAC,men,100 Back,10,54.24,finals
MIAC,men,100 Back,11,54.48,finals
MIAC,men,100 Back,12,55.0,finals
MIAC,men,100 Back,13,55.33,finals
MIAC,men,100 Back,14,55.52,finals
MIAC,men,100 Back,15,56.34,finals
MIAC,men,100 Back,16,58.16,finals
MIAC,men,100 Back,17,58.4,finals
MIAC,men,100 Back,18,58.74,finals
MIAC,men,100 Back,19,60.05,finals
MIAC,men,100 Back,20,62.47,finals
MIAC,men,100 Back,21,62.58,finals
MIAC,men,100 Back,46,46.42,finals
MIAC,men,100 Back,48,48.67,finals
MIAC,men,100 Back,49,49.28,finals
MIAC,men,200 Back,1,111.51,finals
MIAC,men,200 Back,2,111.64,finals
MIAC,men,200 Back,3,112.73,finals
MIAC,men,200 Back,4,114.45,finals
MIAC,men,200 Back,5,114.91,finals
MIAC,men,200 Back,6,116.52,finals
MIAC,men,200 Back,7,116.79,finals
MIAC,men,200 Back,8,122.27,finals
MIAC,men,200 Back,9,118.9,finals
MIAC,men,200 Back,10,119.05,finals
MIAC,men,200 Back,11,120.82,finals
MIAC,men,200 Back,12,120.86,finals
MIAC,men,200 Back,13,121.06,finals
MIAC,men,200 Back,14,124.84,finals
MIAC,men,200 Back,15,126.26,finals
MIAC,men,200 Back,16,127.96,finals
MIAC,men,100 Breast,1,53.76,finals
MIAC,men,100 Breast,2,56.22,finals
MIAC,men,100 Breast,3,56.42,finals
MIAC,men,100 Breast,4,57.86,finals
MIAC,men,100 Breast,5,58.02,finals
MIAC,men,100 Breast,6,58.27,finals
MIAC,men,100 Breast,7,58.64,finals
MIAC,men,100 Breast,8,59.05,finals
MIAC,men,100 Breast,9,58.68,finals
MIAC,men,100 Breast,10,59.1,finals
MIAC,men,100 Breast,11,59.36,finals
MIAC,men,100 Breast,12,60.03,finals
MIAC,men,100 Breast,13,60.23,finals
MIAC,men,100 Breast,14,62.12,finals
MIAC,men,100 Breast,15,62.87,finals
MIAC,men,100 Breast,16,63.82,finals
MIAC,men,100 Breast,52,52.44,finals
MIAC,men,100 Breast,54,54.46,finals
MIAC,men,100 Breast,55,55.19,finals
MIAC,men,200 Breast,1,124.28,finals
MIAC,men,200 Breast,2,125.8,finals
MIAC,men,200 Breast,3,126.19,finals
MIAC,men,200 Breast,4,127.71,finals
MIAC,men,200 Breast,5,128.03,finals
MIAC,men,200 Breast,6,129.5,finals
MIAC,men,200 Breast,7,130.47,finals
MIAC,men,200 Breast,8,132.02,finals
MIAC,men,200 Breast,9,128.78,finals
MIAC,men,200 Breast,10,131.15,finals
MIAC,men,200 Breast,11,131.46,finals
MIAC,men,200 Breast,12,133.8,finals
MIAC,men,200 Breast,13,134.95,finals
MIAC,men,200 Breast,14,135.98,finals
MIAC,men,200 Breast,15,139.22,finals
MIAC,men,200 Breast,16,139.46,finals
MIAC,men,100 Fly,1,49.66,finals
MIAC,men,100 Fly,2,50.05,finals
MIAC,men,100 Fly,3,50.37,finals
MIAC,men,100 Fly,4,50.54,finals
MIAC,men,100 Fly,5,50.64,finals
MIAC,men,100 Fly,6,50.65,finals
MIAC,men,100 Fly,7,50.82,finals
MIAC,men,100 Fly,8,51.15,finals
MIAC,men,100 Fly,9,51.68,finals
MIAC,men,100 Fly,10,51.93,finals
MIAC,men,100 Fly,11,52.44,finals
MIAC,men,100 Fly,12,52.63,finals
MIAC,men,100 Fly,13,52.91,finals
MIAC,men,100 Fly,14,53.11,finals
MIAC,men,100 Fly,15,53.26,finals
MIAC,men,100 Fly,16,53.59,finals
MIAC,men,100 Fly,22,57.01,finals
MIAC,men,100 Fly,23,57.91,finals
MIAC,men,100 Fly,24,59.59,finals
MIAC,men,100 Fly,46,46.25,finals
MIAC,men,100 Fly,48,48.15,finals
MIAC,men,200 Fly,1,111.56,finals
MIAC,men,200 Fly,2,113.09,finals
MIAC,men,200 Fly,3,115.47,finals
MIAC,men,200 Fly,4,115.81,finals
MIAC,men,200 Fly,5,116.12,finals
MIAC,men,200 Fly,6,116.16,finals
MIAC,men,200 Fly,7,117.8,finals
MIAC,men,200 Fly,8,117.88,finals
MIAC,men,200 Fly,9,118.47,finals
MIAC,men,200 Fly,10,119.78,finals
MIAC,men,200 Fly,11,122.31,finals
MIAC,men,200 Fly,12,122.63,finals
MIAC,men,200 Fly,13,127.4,finals
MIAC,men,200 Fly,14,129.52,finals
MIAC,men,200 Fly,15,132.5,finals
MIAC,men,200 Fly,16,139.98,finals
MIAC,men,200 IM,1,112.8,finals
MIAC,men,200 IM,2,114.04,finals
MIAC,men,200 IM,3,114.88,finals
MIAC,men,200 IM,4,115.27,finals
MIAC,men,200 IM,5,116.75,finals
MIAC,men,200 IM,6,116.82,finals
MIAC,men,200 IM,7,117.34,finals
MIAC,men,200 IM,8,120.3,finals
MIAC,men,200 IM,9,118.05,finals
MIAC,men,200 IM,10,118.69,finals
MIAC,men,200 IM,11,119.52,finals
MIAC,men,200 IM,12,119.76,finals
MIAC,men,200 IM,13,120.6,finals
MIAC,men,200 IM,14,121.85,finals
MIAC,men,200 IM,15,122.85,finals
MIAC,men,200 IM,16,124.27,finals
MIAC,men,200 IM,22,129.56,finals
MIAC,men,200 IM,23,136.28,finals
MIAC,men,200 IM,24,143.4,finals
MIAC,men,400 IM,1,237.55,finals
MIAC,men,400 IM,2,244.82,finals
MIAC,men,400 IM,3,251.2,finals
MIAC,men,400 IM,4,251.46,finals
MIAC,men,400 IM,5,252.49,finals
MIAC,men,400 IM,6,253.83,finals
MIAC,men,400 IM,7,254.02,finals
MIAC,men,400 IM,8,260.03,finals
