gender,event,sw_n,sw_median,sw_mad,sw_p05,sw_p25,sw_p75,sw_p95,deep_n,deep_median,deep_mad,deep_p05,deep_p25,deep_p75,deep_p95,spread_n,spread_median,spread_mad,spread_p05,spread_p25,spread_p75,spread_p95,shape_n,shape_median,shape_mad,shape_p05,shape_p25,shape_p75,shape_p95
men,100 back,32,47.915000000000006,1.3099999999999987,44.457225,46.22,48.8875,50.181875,32,52.629999999999995,2.509999999999998,47.8747,50.155,54.8875,58.941625,32,4.259999999999998,0.9649999999999999,2.643675000000001,3.764999999999997,5.6274999999999995,9.920725000000001,32,1.0899838465183245,0.020198115314854714,1.0569935834313864,1.0793535602563298,1.1193863011006289,1.2039234301949244
men,100 breast,33,53.71,1.5200000000000031,51.0424,52.12,54.42,55.5368,33,58.09,1.7399999999999949,53.9516,56.61,59.83,63.948,33,4.419999999999995,1.3199999999999932,2.7864,3.1799999999999997,5.839999999999996,9.438400000000007,33,1.0846743295019157,0.025086432713350648,1.0525525807273293,1.059587896788565,1.1081681792924616,1.171510096443641
men,100 fly,31,46.94,1.1300000000000026,43.815,46.085,48.105000000000004,48.8825,31,50.3,1.2900000000000063,46.62,49.31,51.655,55.95,31,3.3500000000000014,0.5500000000000043,2.147500000000001,2.8949999999999996,4.365000000000002,7.620000000000001,31,1.0722114764667956,0.011658220095634553,1.0468845735142844,1.0628458001747525,1.0945717879417236,1.1572064136053377
men,100 free,31,43.16,0.970000000000006,40.864999999999995,42.425,44.3,45.832499999999996,31,46.64,1.2100000000000009,43.447500000000005,45.225,47.28,50.335,31,3.030000000000001,0.6000000000000014,1.6049999999999986,2.5050000000000026,3.7349999999999994,4.737499999999999,31,1.0691380486695474,0.014653743736811942,1.0380406068758603,1.0586485071906586,1.0864886405274559,1.1083170878881003
men,1000 free,,,,,,,,,,,,,,,,,,,,,,,,,,,,
men,1650 free,34,924.54,15.519999999999982,866.619725,908.4025,938.9825000000001,961.038675,34,1001.625,38.629999999999995,917.70775,973.22,1064.9,1121.5309,34,82.52499999999998,27.200000000000045,36.62129999999996,57.34500000000003,116.15250000000009,171.58139999999995,34,1.0878197119407957,0.027207068390094458,1.0398588785948568,1.0631733701146875,1.1240612761972217,1.1808718582553042
men,200 back,33,105.65,2.910000000000011,98.96,102.68,107.1,111.3168,33,116.08,5.409999999999997,104.1036,111.48,121.53,129.80239999999998,33,10.91000000000001,2.960000000000022,6.085600000000008,7.949999999999989,13.019999999999996,22.873999999999988,33,1.1022109799512836,0.02944876139005359,1.0619845267394052,1.07276221856123,1.125351429956374,1.2128224684708704
men,200 breast,34,117.58500000000001,3.25,109.291,114.35,120.765,124.574,34,126.41,3.5999999999999943,116.348125,123.21,133.0625,144.157375,34,8.549999999999997,1.7800000000000011,6.711625000000016,7.362500000000001,13.0475,22.03147499999999,34,1.0736405178467878,0.017134217151927866,1.0552318424292164,1.0649097367708675,1.114350579879267,1.187209860519052
men,200 fly,29,106.43,2.4599999999999937,98.6648,102.37,108.84,111.3232,29,113.42,4.239999999999995,104.59479999999999,112.08,119.84,133.4632,29,8.959999999999994,2.5200000000000102,5.102000000000001,7.810000000000002,11.840000000000003,22.338,29,1.087525642278011,0.02253198925201305,1.0503682003022854,1.0748461750390303,1.1175025588536336,1.2025861996306768
men,200 free,34,96.805,1.8699999999999974,91.49549999999999,94.0825,97.9775,102.077375,34,103.06,3.125000000000007,95.473,100.4575,107.2675,113.33604999999999,34,6.454999999999998,1.8899999999999935,3.3895749999999945,5.245000000000001,9.530000000000001,13.094724999999997,34,1.0662867240291285,0.019879277814422114,1.0366339069610797,1.0540104416770921,1.0972746759212004,1.1282816516026832
