Conference,Finish,Team,MenPoints,Tier,SourcePage,Key,ChampionPoints,MedianPoints,DominanceIndex,IsChampion,PSF,PowerClass,ChampionMeetShare,ChampionPowerClass,ChampionRatio,MeetTotalPoints,MeetShare,gender,final_tier,tier_short,generated_at,snapshot_version
ACC,1,"California, University of, Ber",1154.0,Tier 1,0,"ACC|California, University of, Ber",1154.0,0,0,1,1.0,Powerhouse,0.134155,Powerhouse,1.0,8602.0,0.134155,men,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,2,Stanford University,1076.0,Tier 1,0,ACC|Stanford University,1154.0,0,0,0,1.0,Powerhouse,0.134155,Powerhouse,0.932409,8602.0,0.125087,men,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,3,North Carolina State Universit,973.0,Tier 2,0,ACC|North Carolina State Universit,1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.843154,8602.0,0.113113,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,4,"Louisville, University of",844.0,Tier 2,0,"ACC|Louisville, University of",1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.731369,8602.0,0.098117,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,5,VA Tech,715.5,Tier 2,0,ACC|VA Tech,1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.620017,8602.0,0.083178,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,6,Florida State University,624.5,Tier 3,0,ACC|Florida State University,1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.541161,8602.0,0.072599,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,7,"Virginia, University of",577.5,Tier 3,0,"ACC|Virginia, University of",1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.500433,8602.0,0.067136,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,8,"North Carolina, University of",572.5,Tier 3,0,"ACC|North Carolina, University of",1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.496101,8602.0,0.066554,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,9,"Notre Dame, University of",488.0,Tier 3,0,"ACC|Notre Dame, University of",1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.422877,8602.0,0.056731,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,10,Southern Methodist University,407.0,Tier 3,0,ACC|Southern Methodist University,1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.352686,8602.0,0.047315,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,11,"Pittsburgh, University of",401.0,Tier 4,0,"ACC|Pittsburgh, University of",1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.347487,8602.0,0.046617,men,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,12,Georgia Institute of Technolog,357.0,Tier 4,0,ACC|Georgia Institute of Technolog,1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.309359,8602.0,0.041502,men,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,13,University of Miami (Florida),162.0,Tier 4,0,ACC|University of Miami (Florida),1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.140381,8602.0,0.018833,men,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,14,Duke University,138.0,Tier 4,0,ACC|Duke University,1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.119584,8602.0,0.016043,men,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,15,Boston College,112.0,Tier 4,0,ACC|Boston College,1154.0,0,0,0,1.0,,0.134155,Powerhouse,0.097054,8602.0,0.01302,men,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,1,"Virginia, University of",1410.5,Tier 1,0,"ACC|Virginia, University of",1410.5,0,0,1,1.0,Powerhouse,0.159163,Powerhouse,1.0,8862.0,0.159163,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,2,Stanford University,1039.0,Tier 2,0,ACC|Stanford University,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.736618,8862.0,0.117242,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,3,"California, University of, Ber",1027.5,Tier 2,0,"ACC|California, University of, Ber",1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.728465,8862.0,0.115944,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,4,"Louisville, University of",925.0,Tier 2,0,"ACC|Louisville, University of",1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.655796,8862.0,0.104378,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,5,North Carolina State Universit,851.5,Tier 2,0,ACC|North Carolina State Universit,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.603687,8862.0,0.096084,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,6,"Pittsburgh, University of",552.0,Tier 3,0,"ACC|Pittsburgh, University of",1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.391351,8862.0,0.062288,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,7,"North Carolina, University of",522.5,Tier 3,0,"ACC|North Carolina, University of",1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.370436,8862.0,0.05896,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,8,Duke University,432.5,Tier 4,0,ACC|Duke University,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.306629,8862.0,0.048804,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,9,VA Tech,409.5,Tier 4,0,ACC|VA Tech,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.290323,8862.0,0.046209,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,10,Florida State University,371.0,Tier 4,0,ACC|Florida State University,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.263027,8862.0,0.041864,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,11,"Notre Dame, University of",366.0,Tier 4,0,"ACC|Notre Dame, University of",1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.259482,8862.0,0.0413,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,12,University of Miami (Florida),322.0,Tier 4,0,ACC|University of Miami (Florida),1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.228288,8862.0,0.036335,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,13,Georgia Institute of Technolog,274.0,Tier 4,0,ACC|Georgia Institute of Technolog,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.194257,8862.0,0.030919,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,14,Southern Methodist University,261.0,Tier 4,0,ACC|Southern Methodist University,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.185041,8862.0,0.029452,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,15,Boston College,98.0,Tier 4,0,ACC|Boston College,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.069479,8862.0,0.011058,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
