Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
acc_2026,ACC,2026,men,50 Free,captured,yes,prelim_fallback,,47,64,16,yes
acc_2026,ACC,2026,men,100 Free,captured,yes,prelim_fallback,,44,62,16,yes
acc_2026,ACC,2026,men,200 Free,captured,yes,prelim_fallback,,45,64,16,yes
acc_2026,ACC,2026,men,500 Free,captured,yes,prelim_fallback,,46,55,16,yes
acc_2026,ACC,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
acc_2026,ACC,2026,men,1650 Free,captured,yes,prelim_fallback,,45,45,16,yes
acc_2026,ACC,2026,men,100 Back,captured,yes,prelim_fallback,,28,46,16,yes
acc_2026,ACC,2026,men,200 Back,captured,yes,prelim_fallback,,47,49,16,yes
acc_2026,ACC,2026,men,100 Breast,captured,yes,prelim_fallback,,39,52,16,yes
acc_2026,ACC,2026,men,200 Breast,captured,yes,prelim_fallback,,24,24,16,yes
acc_2026,ACC,2026,men,100 Fly,captured,yes,prelim_fallback,,41,53,16,yes
acc_2026,ACC,2026,men,200 Fly,captured,yes,prelim_fallback,,33,37,16,yes
acc_2026,ACC,2026,men,200 IM,captured,yes,prelim_fallback,,41,55,16,yes
acc_2026,ACC,2026,men,400 IM,captured,yes,prelim_fallback,,37,47,16,yes
acc_2026,ACC,2026,women,50 Free,captured,yes,prelim_fallback,,41,64,16,yes
acc_2026,ACC,2026,women,100 Free,captured,yes,prelim_fallback,,62,64,16,yes
acc_2026,ACC,2026,women,200 Free,captured,yes,prelim_fallback,,48,64,16,yes
acc_2026,ACC,2026,women,500 Free,captured,yes,prelim_fallback,,48,57,16,yes
acc_2026,ACC,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
acc_2026,ACC,2026,women,1650 Free,captured,yes,prelim_fallback,,32,32,16,yes
acc_2026,ACC,2026,women,100 Back,captured,yes,prelim_fallback,,35,55,16,yes
acc_2026,ACC,2026,women,200 Back,captured,yes,prelim_fallback,,36,54,16,yes
acc_2026,ACC,2026,women,100 Breast,captured,yes,prelim_fallback,,27,59,16,yes
acc_2026,ACC,2026,women,200 Breast,captured,yes,prelim_fallback,,47,49,16,yes
acc_2026,ACC,2026,women,100 Fly,captured,yes,prelim_fallback,,38,59,16,yes
acc_2026,ACC,2026,women,200 Fly,captured,yes,prelim_fallback,,25,42,16,yes
acc_2026,ACC,2026,women,200 IM,captured,yes,prelim_fallback,,40,62,16,yes
acc_2026,ACC,2026,women,400 IM,captured,yes,prelim_fallback,,40,44,16,yes
