Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
America East,2026,men,americaeast_2026,50 Free,19.94,20.65,21.31,19.94,20.65,21.31,0.0913,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,100 Free,43.58,44.81,45.98,43.58,44.81,45.98,0.16,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 Free,1:36.79,1:39.24,1:43.26,96.79,99.24,103.26,0.4313,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,500 Free,4:25.84,4:38.15,4:39.51,265.84,278.15,279.51,0.9113,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,1650 Free,15:29.98,16:04.80,16:36.76,929.98,964.8,996.76,4.452,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,100 Back,48.03,49.53,52.30,48.03,49.53,52.3,0.2847,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 Back,1:45.66,1:53.42,1:57.05,105.66,113.42,117.05,0.7593,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,100 Breast,53.99,56.22,59.83,53.99,56.22,59.83,0.3893,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 Breast,1:56.32,2:04.77,2:06.62,116.32,124.77,126.62,0.6867,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,100 Fly,46.64,48.55,49.78,46.64,48.55,49.78,0.2093,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 Fly,1:46.53,1:53.05,1:56.98,106.53,113.05,116.98,0.6967,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,200 IM,1:47.46,1:50.39,1:57.42,107.46,110.39,117.42,0.664,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,men,americaeast_2026,400 IM,3:55.07,4:03.42,4:07.35,235.07,243.42,247.35,0.8187,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,50 Free,22.25,23.63,23.83,22.25,23.63,23.83,0.1053,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,100 Free,49.20,51.56,53.69,49.2,51.56,53.69,0.2993,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 Free,1:47.80,1:53.65,1:54.64,107.8,113.65,114.64,0.456,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,500 Free,4:45.90,5:01.25,5:11.03,285.9,301.25,311.03,1.6753,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,1650 Free,16:28.27,17:16.90,17:42.85,988.27,1036.9,1062.85,4.972,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,100 Back,54.86,56.80,59.79,54.86,56.8,59.79,0.3287,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 Back,1:58.94,2:07.33,2:07.31,118.94,127.33,127.31,0.558,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,100 Breast,1:01.58,1:04.90,1:07.37,61.58,64.9,67.37,0.386,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 Breast,2:15.57,2:22.96,2:29.63,135.57,142.96,149.63,0.9373,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,100 Fly,53.10,57.50,58.02,53.1,57.5,58.02,0.328,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 Fly,1:59.21,2:06.75,2:12.74,119.21,126.75,132.74,0.902,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,200 IM,2:02.02,2:08.10,2:08.83,122.02,128.1,128.83,0.454,america east 2026_meet_results.pdf,prelim_fallback,,,
America East,2026,women,americaeast_2026,400 IM,4:25.04,4:29.71,4:35.85,265.04,269.71,275.85,0.7207,america east 2026_meet_results.pdf,prelim_fallback,,,
