Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
ASUN,2026,men,asun_2026,50 Free,19.43,19.82,20.48,19.43,19.82,20.48,0.07,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,100 Free,42.59,44.76,45.78,42.59,44.76,45.78,0.2127,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 Free,1:32.42,1:38.01,1:40.77,92.42,98.01,100.77,0.5567,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,500 Free,4:22.74,4:32.02,4:34.40,262.74,272.02,274.4,0.7773,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,1650 Free,15:25.13,15:47.54,16:02.06,925.13,947.54,962.06,2.462,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,100 Back,46.00,48.99,51.41,46.0,48.99,51.41,0.3607,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 Back,1:43.15,1:48.41,1:56.08,103.15,108.41,116.08,0.862,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,100 Breast,51.51,54.07,56.31,51.51,54.07,56.31,0.32,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 Breast,1:56.02,2:00.45,2:03.02,116.02,120.45,123.02,0.4667,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,100 Fly,46.27,48.01,49.73,46.27,48.01,49.73,0.2307,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 Fly,1:45.97,1:48.69,1:52.09,105.97,108.69,112.09,0.408,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,200 IM,1:45.65,1:49.05,1:51.59,105.65,109.05,111.59,0.396,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,men,asun_2026,400 IM,3:48.22,3:56.62,4:01.98,228.22,236.62,241.98,0.9173,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,50 Free,22.50,23.45,24.02,22.5,23.45,24.02,0.1013,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,100 Free,49.41,50.71,51.55,49.41,50.71,51.55,0.1427,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 Free,1:48.41,1:50.56,1:53.45,108.41,110.56,113.45,0.336,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,500 Free,4:46.80,5:02.07,5:07.48,286.8,302.07,307.48,1.3787,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,1650 Free,16:30.48,17:29.10,17:57.37,990.48,1049.1,1077.37,5.7927,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,100 Back,53.04,56.10,57.48,53.04,56.1,57.48,0.296,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 Back,1:56.82,2:00.90,2:05.89,116.82,120.9,125.89,0.6047,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,100 Breast,1:00.90,1:04.08,1:05.47,60.9,64.08,65.47,0.3047,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 Breast,2:11.40,2:20.55,2:23.72,131.4,140.55,143.72,0.8213,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,100 Fly,51.92,55.25,57.46,51.92,55.25,57.46,0.3693,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 Fly,1:55.65,2:07.95,2:06.98,115.65,127.95,126.98,0.7553,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,200 IM,1:59.84,2:03.53,2:07.20,119.84,123.525,127.2,0.4907,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
ASUN,2026,women,asun_2026,400 IM,4:15.97,4:26.35,4:40.80,255.97,266.35,280.8,1.6553,2026 ASUN full_meet_results.pdf,prelim_fallback,,,
