Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Atlantic 10,2026,men,atlantic10_2026,50 Free,19.18,20.46,20.60,19.18,20.46,20.6,0.0947,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 Free,1:33.46,1:39.53,1:40.02,93.46,99.53,100.02,0.4373,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,500 Free,4:19.28,4:28.10,4:39.77,259.28,268.1,279.77,1.366,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,1650 Free,15:09.61,15:41.24,16:18.82,909.61,941.24,978.82,4.614,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,100 Back,46.24,48.95,50.05,46.24,48.95,50.05,0.254,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 Back,1:43.53,1:51.65,1:50.67,103.53,111.65,110.67,0.476,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,100 Breast,53.08,55.12,55.90,53.08,55.12,55.9,0.188,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 Breast,1:57.02,2:01.43,2:03.60,117.02,121.43,123.6,0.4387,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 Fly,1:41.72,1:49.77,1:51.35,101.72,109.77,111.35,0.642,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,200 IM,1:44.78,1:49.91,1:51.04,104.78,109.91,111.04,0.4173,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,men,atlantic10_2026,400 IM,3:47.60,3:59.55,4:08.04,227.6,239.55,248.04,1.3627,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,50 Free,22.64,23.12,23.68,22.64,23.12,23.68,0.0693,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,100 Free,49.84,50.79,51.21,49.84,50.79,51.21,0.0913,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 Free,1:48.75,1:51.23,1:53.29,108.75,111.23,113.29,0.3027,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,500 Free,4:45.77,5:00.32,5:03.88,285.77,300.32,303.88,1.2073,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,1650 Free,16:23.28,17:09.26,17:31.43,983.28,1029.26,1051.43,4.5433,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,100 Back,53.92,55.85,56.90,53.92,55.85,56.9,0.1987,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 Back,1:55.15,2:03.40,2:04.31,115.15,123.4,124.31,0.6107,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,100 Breast,1:01.29,1:03.17,1:03.78,61.29,63.17,63.78,0.166,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 Breast,2:12.91,2:17.02,2:19.45,132.91,137.02,139.45,0.436,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,100 Fly,53.38,54.60,56.27,53.38,54.6,56.27,0.1927,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 Fly,1:58.19,2:03.93,2:08.03,118.19,123.93,128.03,0.656,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,200 IM,1:58.75,2:03.72,2:06.35,118.75,123.72,126.35,0.5067,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
Atlantic 10,2026,women,atlantic10_2026,400 IM,4:15.21,4:28.19,4:35.32,255.21,268.19,275.32,1.3407,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,finals,,,
