Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Big 12,unknown,men,big12_unknown,50 Free,18.46,19.25,21.01,18.46,19.25,21.01,0.17,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,100 Free,40.67,42.86,44.18,40.67,42.86,44.18,0.234,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 Free,1:32.68,1:34.51,1:36.11,92.68,94.51,96.11,0.2287,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,500 Free,4:13.48,4:21.57,4:27.81,253.48,261.57,267.81,0.9553,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,1650 Free,14:52.65,15:14.32,15:26.05,892.65,914.32,926.05,2.2267,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,100 Back,44.79,46.69,47.46,44.79,46.69,47.46,0.178,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 Back,1:38.33,1:44.38,1:44.43,98.33,104.38,104.43,0.4067,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,100 Breast,51.32,53.09,54.15,51.32,53.09,54.15,0.1887,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 Breast,1:51.92,1:56.79,1:59.26,111.92,116.79,119.26,0.4893,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,100 Fly,43.77,46.83,47.35,43.77,46.83,47.35,0.2387,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 Fly,1:37.70,1:45.56,1:49.18,97.7,105.56,109.18,0.7653,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,200 IM,1:43.80,1:47.42,1:47.63,103.8,107.42,107.63,0.2553,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,men,big12_unknown,400 IM,3:44.46,3:53.00,3:57.86,224.46,233.0,237.86,0.8933,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,50 Free,21.80,22.77,22.97,21.8,22.77,22.97,0.078,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,100 Free,47.42,49.96,50.48,47.42,49.96,50.48,0.204,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 Free,1:44.58,1:47.89,1:48.81,104.58,107.89,108.81,0.282,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,500 Free,4:41.34,4:49.50,4:54.15,281.34,289.5,294.15,0.854,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,1650 Free,16:06.04,16:41.32,16:52.54,966.04,1001.32,1012.54,3.1,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,100 Back,52.31,54.06,54.86,52.31,54.06,54.86,0.17,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 Back,1:52.44,1:56.97,1:59.77,112.44,116.97,119.77,0.4887,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,100 Breast,58.02,1:00.44,1:01.59,58.02,60.44,61.59,0.238,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 Breast,2:08.11,2:18.92,2:14.64,128.11,138.92,134.64,0.4353,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,100 Fly,51.97,53.78,55.13,51.97,53.78,55.13,0.2107,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 Fly,1:56.31,2:01.13,2:02.79,116.31,121.13,122.79,0.432,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,200 IM,1:57.16,2:03.74,2:03.74,117.16,123.74,123.74,0.4387,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
Big 12,unknown,women,big12_unknown,400 IM,4:09.22,4:22.50,4:23.38,249.22,262.5,263.38,0.944,Big_12_S_D_Champ_Results_pdf.pdf,finals,,,
