Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Big East,2026,men,bigeast_2026,50 Free,19.21,20.76,21.23,19.21,20.76,21.23,0.1347,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,100 Free,46.29,44.86,46.86,46.29,44.86,46.86,0.038,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 Free,1:36.23,1:39.24,1:42.86,96.23,99.24,102.86,0.442,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,500 Free,4:26.25,4:32.56,4:38.04,266.25,272.56,278.04,0.786,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,1650 Free,15:28.25,15:52.98,16:24.96,928.25,952.98,984.96,3.7807,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,100 Back,48.45,49.82,51.20,48.45,49.82,51.2,0.1833,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 Back,1:45.00,1:50.45,1:51.48,105.0,110.45,111.48,0.432,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,100 Breast,53.95,56.07,59.05,53.95,56.07,59.05,0.34,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 Breast,1:57.83,2:04.22,2:07.04,117.83,124.22,127.04,0.614,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,100 Fly,46.44,48.28,50.30,46.44,48.28,50.3,0.2573,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 Fly,1:44.94,1:50.71,1:53.41,104.94,110.71,113.41,0.5647,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,200 IM,1:45.82,1:49.60,1:50.50,105.82,109.6,110.5,0.312,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,men,bigeast_2026,400 IM,3:47.65,4:01.43,4:08.83,227.65,241.43,248.83,1.412,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,50 Free,22.63,23.53,24.22,22.63,23.53,24.22,0.106,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,100 Free,50.02,51.30,52.74,50.02,51.3,52.74,0.1813,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 Free,1:48.89,1:50.90,1:53.08,108.89,110.9,113.08,0.2793,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,500 Free,4:50.10,5:00.42,5:08.08,290.1,300.42,308.08,1.1987,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,1650 Free,16:29.88,17:04.58,17:20.41,989.88,1024.58,1040.41,3.3687,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,100 Back,54.16,55.71,57.42,54.16,55.71,57.42,0.2173,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 Back,1:56.75,2:02.13,2:08.83,116.75,122.13,128.83,0.8053,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,100 Breast,1:01.47,1:03.75,1:06.04,61.47,63.75,66.04,0.3047,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 Breast,2:12.94,2:18.43,2:24.79,132.94,138.43,144.79,0.79,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,100 Fly,53.45,55.96,58.21,53.45,55.96,58.21,0.3173,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 Fly,1:58.45,2:04.52,2:08.11,118.45,124.52,128.11,0.644,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,200 IM,1:59.54,2:03.47,2:06.51,119.54,123.47,126.51,0.4647,big east 2026_full_results.pdf,prelim_fallback,,,
Big East,2026,women,bigeast_2026,400 IM,4:15.51,4:30.61,4:37.12,255.51,270.61,277.12,1.4407,big east 2026_full_results.pdf,prelim_fallback,,,
