Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Big Ten,2026,men,bigten_2026,50 Free,6:38.50,5:12.55,4:57.05,398.5,312.55,297.05,-6.7633,Mens_2026 Big 10_Friday results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,100 Free,41.81,42.74,43.46,41.81,42.74,43.46,0.11,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 Free,1:31.32,1:33.66,1:34.42,91.32,93.66,94.42,0.2067,mens 2026_Big 10 _Thursday_Results.pdf,finals,,,
Big Ten,2026,men,bigten_2026,500 Free,4:09.14,4:18.79,4:26.76,249.14,258.79,266.76,1.1747,Mens_2026 Big 10_Friday results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,1650 Free,14:25.40,14:58.72,15:19.19,865.4,898.72,919.19,3.586,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,100 Back,44.52,45.54,47.06,44.52,45.54,47.06,0.1693,Mens_2026 Big 10_Friday results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 Back,7:22.55,5:26.55,1:42.80,442.55,326.55,102.8,-22.65,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,100 Breast,6:18.15,52.13,53.12,378.15,52.13,53.12,-21.6687,mens 2026_Big 10 _Thursday_Results.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 Breast,1:49.34,1:54.11,1:55.29,109.34,114.11,115.29,0.3967,Mens_2026 Big 10_Friday results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,100 Fly,43.83,45.04,46.75,43.83,45.04,46.75,0.1947,mens 2026_Big 10 _Thursday_Results.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 Fly,1:38.82,1:42.67,1:44.80,98.82,102.67,104.8,0.3987,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,200 IM,1:40.11,1:42.90,1:47.09,100.11,102.9,107.09,0.4653,mens 2026 Big 10 saturday_results_-_all__1_.pdf,finals,,,
Big Ten,2026,men,bigten_2026,400 IM,3:34.90,3:45.99,3:44.40,214.9,225.99,224.4,0.6333,mens 2026_Big 10 _Thursday_Results.pdf,finals,,,
Big Ten,2026,women,bigten_2026,50 Free,21.09,22.15,22.52,21.09,22.15,22.52,0.0953,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,100 Free,46.22,48.28,49.22,46.22,48.28,49.22,0.2,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 Free,1:40.84,1:46.16,1:47.37,100.84,106.16,107.37,0.4353,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,500 Free,4:34.60,4:43.05,4:48.21,274.6,283.05,288.21,0.9073,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,1650 Free,15:45.36,16:12.46,16:41.52,945.36,972.46,1001.52,3.744,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,100 Back,49.72,51.75,53.86,49.72,51.75,53.86,0.276,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 Back,1:48.31,1:55.18,1:57.89,108.31,115.18,117.89,0.6387,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,100 Breast,57.90,1:00.26,1:01.14,57.9,60.26,61.14,0.216,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 Breast,2:05.24,2:11.00,2:14.24,125.24,131.0,134.24,0.6,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,100 Fly,49.95,52.15,53.80,49.95,52.15,53.8,0.2567,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 Fly,1:50.34,1:59.27,1:59.71,110.34,119.27,119.71,0.6247,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,200 IM,1:52.81,1:57.94,1:59.83,112.81,117.94,119.83,0.468,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
Big Ten,2026,women,bigten_2026,400 IM,4:00.57,4:10.02,4:17.91,240.57,250.02,257.91,1.156,2026_women_s_b10_swim_meet_results.pdf,prelim_fallback,,,
