Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Big West,2026,men,bigwest_2026,50 Free,19.13,20.08,20.22,19.13,20.08,20.22,0.0727,2026_big_west_thursday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,100 Free,42.41,44.55,44.88,42.41,44.55,44.88,0.1647,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 Free,1:34.77,1:38.09,1:40.44,94.77,98.09,100.44,0.378,2026_big_west_friday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,500 Free,4:20.98,4:27.92,4:34.25,260.98,267.92,274.25,0.8847,2026_big_west_thursday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,1650 Free,15:17.54,15:45.13,16:46.49,917.54,945.13,1006.49,5.93,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,100 Back,46.16,48.21,49.36,46.16,48.21,49.36,0.2133,2026_big_west_friday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 Back,1:43.19,1:51.92,1:51.68,103.19,111.92,111.68,0.566,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,100 Breast,52.69,54.87,55.30,52.69,54.87,55.3,0.174,2026_big_west_friday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 Breast,1:54.56,2:01.07,2:02.13,114.56,121.07,122.13,0.5047,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,100 Fly,45.91,47.66,48.69,45.91,47.66,48.69,0.1853,2026_big_west_friday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 Fly,1:42.37,1:49.37,1:51.33,102.37,109.37,111.33,0.5973,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,men,bigwest_2026,200 IM,1:43.93,1:49.62,1:50.56,103.93,109.62,110.565,0.4423,2026_big_west_thursday_final_results_men.pdf,finals,,,
Big West,2026,men,bigwest_2026,400 IM,3:47.09,3:56.94,4:00.34,227.09,236.94,240.34,0.8833,2026_big_west_friday_final_results_men.pdf,finals,,,
Big West,2026,women,bigwest_2026,50 Free,22.28,23.05,23.50,22.28,23.05,23.5,0.0813,2026_big_west_thursday_final_results_women.pdf,finals,,,
Big West,2026,women,bigwest_2026,100 Free,48.67,50.56,51.10,48.67,50.56,51.1,0.162,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,women,bigwest_2026,200 Free,1:45.52,1:51.07,1:52.88,105.52,111.07,112.88,0.4907,2026_big_west_friday_final_results_women.pdf,finals,,,
Big West,2026,women,bigwest_2026,500 Free,4:45.65,4:58.50,5:01.35,285.65,298.5,301.35,1.0467,2026_big_west_thursday_final_results_women.pdf,finals,,,
Big West,2026,women,bigwest_2026,1650 Free,16:36.45,17:16.01,17:44.68,996.45,1036.01,1064.68,4.5487,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,women,bigwest_2026,100 Back,53.81,55.76,57.20,53.81,55.76,57.2,0.226,2026_big_west_friday_final_results_women.pdf,finals,,,
Big West,2026,women,bigwest_2026,200 Back,1:56.37,2:03.68,2:02.87,116.37,123.68,122.87,0.4333,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,women,bigwest_2026,100 Breast,58.95,1:02.66,1:06.41,58.95,62.66,66.41,0.4973,2026_big_west_friday_final_results_women.pdf,finals,,,
Big West,2026,women,bigwest_2026,200 Breast,2:12.19,2:19.10,2:23.99,132.19,139.1,143.99,0.7867,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,women,bigwest_2026,100 Fly,52.79,54.80,56.19,52.79,54.8,56.19,0.2267,2026_big_west_friday_final_results_women.pdf,finals,,,
Big West,2026,women,bigwest_2026,200 Fly,1:56.44,2:01.65,2:13.74,116.44,121.65,133.74,1.1533,2026_big_west_saturday_final_results.pdf,finals,,,
Big West,2026,women,bigwest_2026,200 IM,1:57.43,2:02.39,2:05.45,117.43,122.39,125.45,0.5347,2026_big_west_thursday_final_results_women.pdf,finals,,,
Big West,2026,women,bigwest_2026,400 IM,4:15.47,4:23.80,4:42.39,255.47,263.8,282.39,1.7947,2026_big_west_friday_final_results_women.pdf,finals,,,
