Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
CAA,2026,men,caa_2026,50 Free,19.60,20.07,20.61,19.6,20.07,20.61,0.0673,caa 2026 thursday results.pdf,finals,,,
CAA,2026,men,caa_2026,100 Free,42.85,44.82,45.63,42.85,44.82,45.63,0.1853,caa 2026 saturday results.pdf,finals,,,
CAA,2026,men,caa_2026,200 Free,1:35.03,1:39.77,1:40.72,95.03,99.77,100.72,0.3793,caa 2026 friday results.pdf,finals,,,
CAA,2026,men,caa_2026,500 Free,4:21.03,4:27.85,4:31.21,261.03,267.85,271.21,0.6787,caa 2026 thursday results.pdf,finals,,,
CAA,2026,men,caa_2026,1650 Free,15:08.00,15:44.63,16:18.62,908.0,944.63,978.62,4.708,caa 2026 saturday results.pdf,finals,,,
CAA,2026,men,caa_2026,100 Back,46.83,48.19,50.94,46.83,48.19,50.94,0.274,caa 2026 friday results.pdf,finals,,,
CAA,2026,men,caa_2026,200 Back,1:42.00,1:48.07,1:48.97,102.0,108.07,108.97,0.4647,caa 2026 saturday results.pdf,finals,,,
CAA,2026,men,caa_2026,100 Breast,52.12,54.07,57.09,52.12,54.07,57.09,0.3313,caa 2026 friday results.pdf,finals,,,
CAA,2026,men,caa_2026,200 Breast,1:52.45,2:00.75,2:04.11,112.45,120.75,124.11,0.7773,caa 2026 saturday results.pdf,finals,,,
CAA,2026,men,caa_2026,200 Fly,4:40.45,3:46.75,1:53.13,280.45,226.75,113.13,-11.1547,caa 2026 saturday results.pdf,finals,,,
CAA,2026,men,caa_2026,200 IM,1:42.09,1:47.95,1:51.22,102.09,107.95,111.22,0.6087,caa 2026 thursday results.pdf,finals,,,
CAA,2026,men,caa_2026,400 IM,3:42.15,3:55.79,4:05.09,222.15,235.79,245.09,1.5293,caa 2026 friday results.pdf,finals,,,
CAA,2026,women,caa_2026,50 Free,22.39,23.45,23.66,22.39,23.45,23.66,0.0847,caa 2026 thursday results.pdf,finals,,,
CAA,2026,women,caa_2026,100 Free,48.88,50.89,51.82,48.88,50.89,51.82,0.196,caa 2026 saturday results.pdf,finals,,,
CAA,2026,women,caa_2026,200 Free,1:47.47,1:51.70,1:56.56,107.47,111.7,116.56,0.606,caa 2026 friday results.pdf,finals,,,
CAA,2026,women,caa_2026,500 Free,4:47.79,4:55.91,4:59.84,287.79,295.91,299.84,0.8033,caa 2026 thursday results.pdf,finals,,,
CAA,2026,women,caa_2026,1650 Free,16:39.96,17:05.67,17:26.35,999.96,1025.67,1046.35,3.0927,caa 2026 saturday results.pdf,finals,,,
CAA,2026,women,caa_2026,100 Back,53.13,55.55,56.89,53.13,55.55,56.89,0.2507,caa 2026 friday results.pdf,finals,,,
CAA,2026,women,caa_2026,200 Back,1:56.35,2:01.52,2:07.67,116.35,121.52,127.67,0.7547,caa 2026 saturday results.pdf,finals,,,
CAA,2026,women,caa_2026,100 Breast,1:01.11,1:04.03,1:05.54,61.11,64.03,65.54,0.2953,caa 2026 friday results.pdf,finals,,,
CAA,2026,women,caa_2026,200 Breast,2:11.97,2:18.86,2:21.88,131.97,138.86,141.88,0.6607,caa 2026 saturday results.pdf,finals,,,
CAA,2026,women,caa_2026,100 Fly,52.06,54.94,56.42,52.06,54.94,56.42,0.2907,caa 2026 friday results.pdf,finals,,,
CAA,2026,women,caa_2026,200 Fly,2:00.29,2:06.21,2:10.29,120.29,126.21,130.29,0.6667,caa 2026 saturday results.pdf,finals,,,
CAA,2026,women,caa_2026,200 IM,2:00.84,2:05.59,2:06.46,120.84,125.59,126.46,0.3747,caa 2026 thursday results.pdf,finals,,,
CAA,2026,women,caa_2026,400 IM,4:17.58,4:25.56,4:34.49,257.58,265.56,274.49,1.1273,caa 2026 friday results.pdf,finals,,,
