Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
CCIW,2026,men,cciw_2026,50 Free,20.84,21.77,23.08,20.84,21.77,23.08,0.1493,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,100 Free,45.83,47.45,51.40,45.83,47.45,51.4,0.3713,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,200 Free,1:39.33,1:50.05,2:06.33,99.33,110.05,126.33,1.8,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,500 Free,4:33.46,4:47.45,5:28.86,273.46,287.45,328.86,3.6933,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,1650 Free,15:53.60,17:47.27,18:37.41,953.6,1067.27,1117.41,10.9207,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,100 Back,51.13,54.05,56.74,51.13,54.05,56.74,0.374,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,200 Back,1:51.73,2:04.07,2:15.99,111.73,124.07,135.99,1.6173,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,100 Breast,55.94,1:00.42,1:03.80,55.94,60.42,63.8,0.524,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,200 Breast,2:00.45,2:12.85,2:29.38,120.45,132.85,149.38,1.9287,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,100 Fly,49.43,52.55,57.20,49.43,52.55,57.2,0.518,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,200 IM,1:50.85,2:00.98,2:12.21,110.85,120.98,132.21,1.424,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,men,cciw_2026,400 IM,4:04.74,4:29.83,4:47.82,244.74,269.83,287.82,2.872,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,50 Free,24.16,25.24,26.37,24.16,25.24,26.37,0.1473,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,100 Free,52.93,55.50,57.92,52.93,55.5,57.92,0.3327,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,200 Free,1:55.82,2:01.99,2:07.43,115.82,121.99,127.43,0.774,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,500 Free,5:06.03,5:31.00,5:47.80,306.03,331.0,347.8,2.7847,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,1650 Free,17:31.53,18:58.20,20:23.30,1051.53,1138.2,1223.3,11.4513,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,100 Back,59.16,1:03.04,1:04.31,59.16,63.04,64.31,0.3433,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,200 Back,2:07.20,2:18.22,2:25.18,127.2,138.22,145.18,1.1987,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,100 Breast,1:05.81,1:11.57,1:40.56,65.81,71.57,100.56,2.3167,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,200 Breast,2:25.17,2:35.89,2:52.63,145.17,155.89,172.63,1.8307,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,100 Fly,59.87,1:01.84,1:04.76,59.87,61.84,64.76,0.326,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,200 Fly,2:06.71,2:27.00,2:37.46,126.71,147.0,157.46,2.05,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,200 IM,2:03.94,2:18.38,2:21.17,123.94,138.38,141.17,1.1487,CCIW_2026_Final_Results.pdf,finals,,,
CCIW,2026,women,cciw_2026,400 IM,4:21.41,4:59.00,5:14.40,261.41,299.0,314.4,3.5327,CCIW_2026_Final_Results.pdf,finals,,,
