Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Colorado College,unknown,men,coloradocollege_unknown,50 Free,20.03,21.08,21.39,20.03,21.08,21.39,0.0907,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,100 Free,44.60,46.02,47.03,44.6,46.02,47.03,0.162,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,200 Free,1:38.55,1:41.90,1:44.29,98.55,101.9,104.29,0.3827,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,500 Free,4:28.33,4:44.05,4:47.67,268.33,284.05,287.67,1.2893,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,1650 Free,15:40.65,16:23.61,17:19.32,940.65,983.61,1039.32,6.578,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,100 Back,47.70,50.28,53.38,47.7,50.28,53.38,0.3787,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,200 Back,1:45.89,1:49.80,1:58.91,105.89,109.8,118.91,0.868,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,100 Breast,55.43,57.20,59.16,55.43,57.2,59.16,0.2487,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,200 Breast,2:01.51,2:08.33,2:14.01,121.51,128.33,134.01,0.8333,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,100 Fly,46.91,49.51,51.72,46.91,49.51,51.72,0.3207,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,200 Fly,1:46.43,1:53.91,2:00.83,106.43,113.91,120.83,0.96,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,200 IM,1:49.30,1:54.55,1:56.87,109.3,114.55,116.87,0.5047,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,men,coloradocollege_unknown,400 IM,3:52.45,4:05.39,4:28.84,232.45,245.39,268.84,2.426,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,50 Free,22.69,23.94,24.45,22.69,23.94,24.45,0.1173,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,100 Free,50.44,52.27,53.70,50.44,52.27,53.7,0.2173,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,200 Free,1:51.58,1:54.30,1:59.34,111.58,114.3,119.34,0.5173,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,500 Free,4:58.72,5:10.15,5:20.37,298.72,310.15,320.37,1.4433,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,1650 Free,17:20.61,18:03.13,20:49.87,1040.61,1083.13,1249.87,13.9507,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,100 Back,56.01,58.01,1:01.13,56.01,58.01,61.13,0.3413,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,200 Back,1:59.63,2:07.36,2:13.83,119.63,127.36,133.83,0.9467,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,100 Breast,1:03.47,1:06.73,1:09.55,63.47,66.73,69.55,0.4053,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,200 Breast,2:20.88,2:26.11,2:29.99,140.88,146.11,149.99,0.6073,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,100 Fly,55.37,57.16,59.56,55.37,57.16,59.56,0.2793,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,200 Fly,2:03.97,2:10.99,2:17.23,123.97,130.99,137.23,0.884,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,200 IM,2:02.43,2:08.57,2:12.24,122.43,128.57,132.24,0.654,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
Colorado College,unknown,women,coloradocollege_unknown,400 IM,4:20.71,4:36.04,4:53.13,260.71,276.045,293.13,2.1613,CC_Champs_Final_Results_2_22_26.pdf,finals,,,
