Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
GLIAC,2026,men,gliac_2026,50 Free,19.60,20.14,20.53,19.6,20.14,20.53,0.062,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,100 Free,43.19,44.80,47.23,43.19,44.8,47.23,0.2693,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,200 Free,1:36.82,1:39.22,1:43.73,96.82,99.22,103.73,0.4607,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,500 Free,4:23.43,4:31.77,4:55.93,263.43,271.77,295.93,2.1667,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,1000 Free,9:10.20,9:22.34,9:38.19,550.2,562.34,578.19,1.866,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,1650 Free,15:18.27,15:49.91,16:25.97,918.27,949.91,985.97,4.5133,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,100 Back,47.00,48.86,1:02.33,47.0,48.86,62.33,1.022,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,200 Back,1:45.65,1:49.53,1:52.73,105.65,109.53,112.73,0.472,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,100 Breast,53.51,55.84,56.61,53.51,55.84,56.61,0.2067,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,200 Breast,1:58.11,2:03.60,2:05.75,118.11,123.6,125.75,0.5093,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,100 Fly,47.23,48.98,49.40,47.23,48.98,49.4,0.1447,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,200 Fly,1:44.63,1:51.94,1:53.42,104.63,111.94,113.42,0.586,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,200 IM,1:45.74,1:52.89,1:52.09,105.74,112.89,112.09,0.4233,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,men,gliac_2026,400 IM,3:47.46,4:00.88,4:07.26,227.46,240.88,247.26,1.32,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,50 Free,22.72,23.90,24.61,22.72,23.9,24.61,0.126,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,100 Free,49.72,52.80,53.84,49.72,52.8,53.84,0.2747,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,200 Free,1:47.37,1:53.71,1:57.05,107.37,113.71,117.05,0.6453,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,500 Free,4:50.70,5:10.01,5:17.48,290.7,310.01,317.48,1.7853,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,1000 Free,10:00.31,10:28.02,10:51.44,600.31,628.02,651.44,3.4087,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,1650 Free,17:01.11,17:43.36,18:41.84,1021.11,1063.36,1121.84,6.7153,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,100 Back,55.01,57.66,1:00.71,55.01,57.66,60.71,0.38,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,200 Back,1:58.40,2:06.34,2:13.61,118.4,126.34,133.61,1.014,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,100 Breast,1:02.38,1:04.47,1:07.45,62.38,64.47,67.45,0.338,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,200 Breast,2:13.91,2:24.04,2:30.32,133.91,144.04,150.32,1.094,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,100 Fly,55.70,57.50,1:00.18,55.7,57.5,60.18,0.2987,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,200 Fly,2:04.22,2:09.75,2:21.91,124.22,129.75,141.91,1.1793,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,200 IM,2:03.16,2:09.15,2:11.62,123.16,129.15,131.62,0.564,GLIAC_2026_Final_Results.pdf,finals,,,
GLIAC,2026,women,gliac_2026,400 IM,4:17.12,4:31.26,4:39.28,257.12,271.26,279.28,1.4773,GLIAC_2026_Final_Results.pdf,finals,,,
