Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Horizon League,2026,men,horizonleague_2026,50 Free,18.91,20.04,20.64,18.91,20.04,20.64,0.1153,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,100 Free,42.28,44.42,45.42,42.28,44.42,45.42,0.2093,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,200 Free,1:34.12,1:38.27,1:39.85,94.12,98.27,99.85,0.382,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,500 Free,4:20.78,4:26.08,4:41.04,260.78,266.08,281.04,1.3507,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,1650 Free,15:16.32,15:41.15,16:11.42,916.32,941.15,971.42,3.6733,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,100 Back,4:54.35,3:29.85,50.90,294.35,209.85,50.9,-16.23,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,200 Back,1:42.42,1:47.96,1:51.10,102.42,107.96,111.1,0.5787,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,100 Breast,52.20,54.07,56.62,52.2,54.07,56.62,0.2947,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,200 Breast,1:52.21,2:01.34,2:05.44,112.21,121.34,125.44,0.882,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,100 Fly,45.23,47.31,49.64,45.23,47.31,49.64,0.294,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,200 Fly,1:44.19,1:50.19,1:52.21,104.19,110.19,112.21,0.5347,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,200 IM,1:44.68,1:49.54,1:52.79,104.68,109.54,112.79,0.5407,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,men,horizonleague_2026,400 IM,3:48.10,4:01.78,4:07.66,228.1,241.78,247.66,1.304,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,50 Free,22.74,23.67,24.20,22.74,23.67,24.2,0.0973,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,100 Free,49.98,51.51,53.62,49.98,51.51,53.62,0.2427,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,200 Free,1:48.65,1:53.46,1:56.61,108.65,113.46,116.61,0.5307,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,500 Free,4:49.29,5:03.31,5:06.12,289.29,303.31,306.12,1.122,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,1650 Free,16:46.26,17:23.22,18:05.39,1006.26,1043.22,1085.39,5.2753,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,100 Back,53.89,56.66,57.73,53.89,56.66,57.735,0.2563,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,200 Back,1:55.88,2:03.92,2:07.24,115.88,123.92,127.24,0.7573,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,100 Breast,1:01.68,1:05.04,1:06.94,61.68,65.04,66.94,0.3507,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,200 Breast,2:17.61,2:23.14,2:28.48,137.61,143.14,148.48,0.7247,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,100 Fly,54.88,56.93,58.84,54.88,56.93,58.84,0.264,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,200 Fly,2:01.71,2:09.08,2:13.59,121.71,129.08,133.59,0.792,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,200 IM,2:01.68,2:08.64,2:10.31,121.68,128.64,130.31,0.5753,full_meet_results_horizon_league_2026.pdf,finals,,,
Horizon League,2026,women,horizonleague_2026,400 IM,4:22.11,4:41.38,4:39.23,262.11,281.38,279.23,1.1413,full_meet_results_horizon_league_2026.pdf,finals,,,
