Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Ivy League,2026,men,ivyleague_2026,50 Free,18.82,19.62,19.97,18.82,19.62,19.97,0.0767,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,100 Free,41.36,43.17,44.41,41.36,43.17,44.41,0.2033,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,200 Free,1:31.52,1:35.64,1:37.41,91.52,95.64,97.41,0.3927,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,500 Free,4:10.19,4:20.28,4:25.63,250.19,260.28,265.63,1.0293,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,1000 Free,8:38.01,8:56.51,9:11.77,518.01,536.51,551.77,2.2507,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,1650 Free,14:26.79,15:04.57,15:28.24,866.79,904.57,928.24,4.0967,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,100 Back,45.77,47.04,48.22,45.77,47.04,48.22,0.1633,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,200 Back,1:39.60,1:44.82,1:48.04,99.6,104.82,108.04,0.5627,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,100 Breast,51.18,53.22,54.76,51.18,53.22,54.76,0.2387,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,200 Breast,1:52.03,1:57.82,1:59.46,112.03,117.82,119.46,0.4953,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,100 Fly,44.34,47.00,47.54,44.34,47.0,47.54,0.2133,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,200 Fly,1:39.05,1:47.13,1:46.86,99.05,107.13,106.86,0.5207,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,200 IM,1:40.93,1:44.79,1:46.47,100.93,104.79,106.47,0.3693,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,men,ivyleague_2026,400 IM,3:41.89,3:49.87,3:57.50,221.89,229.87,237.5,1.0407,2026 Ivy Mens Conf.pdf,prelim_fallback,,,
Ivy League,2026,women,ivyleague_2026,50 Free,4:53.65,4:17.55,22.98,293.65,257.55,22.98,-18.0447,2026 Ivy Womens Conf.pdf,prelim_fallback,,,
Ivy League,2026,women,ivyleague_2026,100 Free,48.29,49.54,52.69,48.29,49.54,52.69,0.2933,2026 Ivy Womens Conf.pdf,prelim_fallback,,,
Ivy League,2026,women,ivyleague_2026,200 Free,1:44.20,1:48.03,1:51.33,104.2,108.03,111.33,0.4753,2026 Ivy Womens Conf.pdf,prelim_fallback,,,
Ivy League,2026,women,ivyleague_2026,1650 Free,52.31,16:28.86,1:57.22,52.31,988.86,117.22,4.3273,2026 Ivy Womens Conf.pdf,prelim_fallback,,,
Ivy League,2026,women,ivyleague_2026,100 Back,52.31,53.97,55.85,52.31,53.97,55.85,0.236,2026 Ivy Womens Conf.pdf,prelim_fallback,,,
Ivy League,2026,women,ivyleague_2026,100 Breast,1:00.55,52.15,54.09,60.55,52.15,54.09,-0.4307,2026 Ivy Womens Conf.pdf,prelim_fallback,,,
Ivy League,2026,women,ivyleague_2026,100 Fly,52.40,53.94,53.67,52.4,53.94,53.67,0.0847,2026 Ivy Womens Conf.pdf,prelim_fallback,,,
Ivy League,2026,women,ivyleague_2026,200 Fly,1:55.89,2:03.61,2:03.25,115.89,123.61,123.25,0.4907,2026 Ivy Womens Conf.pdf,prelim_fallback,,,
