Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Landmark,2026,men,landmark_2026,50 Free,20.72,21.55,22.04,20.72,21.55,22.04,0.088,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,100 Free,44.99,48.03,50.32,44.99,48.03,50.32,0.3553,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,200 Free,1:42.56,1:46.24,1:52.65,102.56,106.24,112.65,0.6727,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,500 Free,4:40.64,4:50.01,5:04.56,280.64,290.01,304.56,1.5947,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,1650 Free,16:20.37,17:03.15,18:31.84,980.37,1023.15,1111.84,8.7647,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,100 Back,48.83,54.97,58.53,48.83,54.97,58.53,0.6467,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,200 Back,1:50.27,1:59.42,2:07.92,110.27,119.42,127.92,1.1767,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,100 Breast,55.30,1:00.07,1:04.62,55.3,60.07,64.62,0.6213,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,200 Breast,2:06.68,2:15.55,2:24.09,126.68,135.55,144.09,1.1607,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,100 Fly,48.14,53.03,55.71,48.14,53.03,55.71,0.5047,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,200 Fly,1:51.19,2:02.74,2:12.52,111.19,122.74,132.52,1.422,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,200 IM,1:52.87,1:58.76,2:04.03,112.87,118.76,124.03,0.744,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,men,landmark_2026,400 IM,4:00.30,4:19.65,4:38.95,240.3,259.65,278.95,2.5767,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,50 Free,24.36,25.33,25.95,24.36,25.33,25.95,0.106,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,100 Free,53.32,55.38,1:02.51,53.32,55.38,62.51,0.6127,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,200 Free,1:55.94,2:01.12,2:05.91,115.94,121.12,125.91,0.6647,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,500 Free,5:11.50,5:27.13,5:33.78,311.5,327.13,333.78,1.4853,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,1650 Free,17:51.98,18:39.34,20:51.55,1071.98,1119.34,1251.55,11.9713,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,100 Back,57.50,1:02.20,1:06.24,57.5,62.2,66.24,0.5827,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,200 Back,2:05.36,2:16.84,2:42.86,125.36,136.84,162.86,2.5,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,100 Breast,1:04.98,1:10.85,1:15.08,64.98,70.85,75.08,0.6733,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,200 Breast,2:21.35,2:37.03,2:42.91,141.35,157.03,162.91,1.4373,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,100 Fly,57.08,1:01.42,1:07.02,57.08,61.42,67.02,0.6627,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,200 Fly,2:08.49,2:24.06,2:56.37,128.49,144.06,176.37,3.192,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,200 IM,2:08.53,2:19.75,2:25.14,128.53,139.75,145.14,1.1073,landmark_champs_2026_final_full_results.pdf,finals,,,
Landmark,2026,women,landmark_2026,400 IM,4:37.35,4:54.28,5:08.35,277.35,294.28,308.35,2.0667,landmark_champs_2026_final_full_results.pdf,finals,,,
