Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
MAAC,2026,men,maac_2026,50 Free,20.02,20.60,20.87,20.02,20.6,20.87,0.0567,2026_MAAC_S_D_Championships_Day_2_finals_results.pdf,finals,,,
MAAC,2026,men,maac_2026,100 Free,44.13,45.40,45.84,44.13,45.4,45.84,0.114,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,men,maac_2026,200 Free,1:37.15,1:40.83,1:42.26,97.15,100.83,102.26,0.3407,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,men,maac_2026,500 Free,4:26.17,4:33.75,4:42.93,266.17,273.75,282.93,1.1173,2026_MAAC_S_D_Championships_Day_2_finals_results.pdf,finals,,,
MAAC,2026,men,maac_2026,1650 Free,15:39.33,16:09.57,16:22.10,939.33,969.57,982.1,2.8513,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,men,maac_2026,100 Back,47.51,49.56,51.26,47.51,49.56,51.26,0.25,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,men,maac_2026,200 Back,1:43.74,1:48.80,1:53.45,103.74,108.8,113.45,0.6473,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,men,maac_2026,100 Breast,53.87,55.64,57.08,53.87,55.64,57.08,0.214,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,men,maac_2026,200 Breast,1:57.31,2:02.12,2:05.21,117.31,122.12,125.21,0.5267,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,men,maac_2026,100 Fly,48.01,49.58,50.30,48.01,49.58,50.3,0.1527,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,men,maac_2026,200 Fly,1:49.87,1:53.60,1:53.40,109.87,113.6,113.4,0.2353,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,men,maac_2026,200 IM,1:47.73,1:50.39,1:52.36,107.73,110.39,112.36,0.3087,2026_MAAC_S_D_Championships_Day_2_finals_results.pdf,finals,,,
MAAC,2026,men,maac_2026,400 IM,3:51.32,4:01.48,4:05.62,231.32,241.48,245.62,0.9533,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,women,maac_2026,50 Free,23.27,23.85,24.23,23.27,23.85,24.23,0.064,2026_MAAC_S_D_Championships_Day_2_finals_results.pdf,finals,,,
MAAC,2026,women,maac_2026,200 Free,1:48.33,1:53.57,1:55.52,108.33,113.57,115.52,0.4793,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,women,maac_2026,500 Free,4:49.75,5:02.81,5:10.24,289.75,302.81,310.24,1.366,2026_MAAC_S_D_Championships_Day_2_finals_results.pdf,finals,,,
MAAC,2026,women,maac_2026,1650 Free,16:53.77,17:31.81,17:54.84,1013.77,1051.81,1074.84,4.0713,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,women,maac_2026,100 Back,55.41,56.82,1:01.29,55.41,56.82,61.29,0.392,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,women,maac_2026,200 Back,1:57.38,2:06.36,2:06.63,117.38,126.36,126.63,0.6167,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,women,maac_2026,100 Breast,1:00.32,1:05.15,1:07.64,60.32,65.15,67.64,0.488,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,women,maac_2026,200 Breast,2:13.98,2:22.73,2:28.10,133.98,142.73,148.1,0.9413,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,women,maac_2026,100 Fly,55.17,56.63,58.38,55.17,56.63,58.38,0.214,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
MAAC,2026,women,maac_2026,200 Fly,2:02.03,2:08.98,2:11.72,122.03,128.98,131.72,0.646,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,finals,,,
MAAC,2026,women,maac_2026,200 IM,2:00.99,2:07.61,2:07.34,120.99,127.61,127.34,0.4233,2026_MAAC_S_D_Championships_Day_2_finals_results.pdf,finals,,,
MAAC,2026,women,maac_2026,400 IM,4:25.46,4:31.06,4:39.79,265.46,271.06,279.79,0.9553,2026_MAAC_S_D_Championships_Day_3_finals_results.pdf,finals,,,
