Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
MPSF,2026,men,mpsf_2026,50 Free,19.20,20.02,20.73,19.2,20.02,20.73,0.102,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,100 Free,43.01,44.06,45.55,43.01,44.06,45.55,0.1693,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,200 Free,1:33.80,1:38.25,1:41.80,93.8,98.25,101.8,0.5333,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,500 Free,4:22.07,4:26.68,24.38,262.07,266.68,24.38,-15.846,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,1650 Free,14:48.77,25.10,16:10.28,888.77,25.1,970.28,5.434,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,100 Back,46.32,49.29,49.83,46.32,49.29,49.83,0.234,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,200 Back,1:41.55,1:49.96,1:53.90,101.55,109.96,113.9,0.8233,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,100 Breast,52.19,54.50,55.39,52.19,54.5,55.39,0.2133,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,200 Breast,1:54.28,1:58.76,2:03.08,114.28,118.76,123.08,0.5867,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,100 Fly,46.06,47.75,49.22,46.06,47.75,49.22,0.2107,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,200 Fly,1:43.45,1:50.49,1:52.15,103.45,110.49,112.15,0.58,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,200 IM,1:43.70,1:48.37,1:52.35,103.7,108.37,112.35,0.5767,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,men,mpsf_2026,400 IM,3:44.10,3:54.21,4:01.03,224.1,234.21,241.03,1.1287,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,50 Free,22.70,23.37,23.68,22.7,23.37,23.68,0.0653,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,100 Free,49.18,50.83,51.61,49.18,50.83,51.61,0.162,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,200 Free,1:47.58,1:51.05,1:54.72,107.58,111.05,114.72,0.476,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,500 Free,4:48.57,5:01.85,5:01.03,288.57,301.85,301.03,0.8307,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,1650 Free,16:35.33,17:01.74,17:21.70,995.33,1021.74,1041.7,3.0913,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,100 Back,54.37,56.00,59.33,54.37,56.0,59.33,0.3307,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,200 Back,1:57.18,1:47.01,1:49.12,117.18,107.01,109.12,-0.5373,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,100 Breast,1:00.57,1:03.66,1:04.54,60.57,63.66,64.54,0.2647,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,200 Breast,2:10.84,2:18.77,2:20.21,130.84,138.77,140.21,0.6247,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,100 Fly,53.74,55.51,48.82,53.74,55.51,48.82,-0.328,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,200 Fly,1:59.70,2:03.53,2:03.18,119.7,123.53,123.18,0.232,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,200 IM,1:59.18,2:03.98,1:51.70,119.18,123.98,111.7,-0.4987,MPSF 2026 RESULTS.pdf,finals,,,
MPSF,2026,women,mpsf_2026,400 IM,4:17.01,28.90,28.54,257.01,28.9,28.54,-15.2313,MPSF 2026 RESULTS.pdf,finals,,,
