Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
ODAC,2026,men,odac_2026,50 Free,20.29,21.41,21.92,20.29,21.41,21.92,0.1087,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,100 Free,44.08,47.00,48.28,44.08,47.0,48.28,0.28,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,200 Free,1:37.65,1:44.54,1:48.56,97.65,104.54,108.56,0.7273,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,500 Free,4:32.27,4:48.31,4:52.86,272.27,288.31,292.86,1.3727,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,1650 Free,15:58.34,16:48.03,18:12.45,958.34,1008.03,1092.45,8.9407,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,100 Back,47.81,53.61,56.38,47.81,53.61,56.38,0.5713,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,200 Back,1:47.73,1:57.46,2:05.10,107.73,117.46,125.1,1.158,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,100 Breast,53.76,58.29,1:01.84,53.76,58.29,61.84,0.5387,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,200 Breast,1:58.53,2:08.09,2:13.84,118.53,128.09,133.84,1.0207,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,100 Fly,48.18,51.12,53.53,48.18,51.12,53.53,0.3567,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,200 Fly,1:50.89,1:59.01,2:05.96,110.89,119.01,125.96,1.0047,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,200 IM,1:47.61,1:57.11,1:57.74,107.61,117.11,117.74,0.6753,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,men,odac_2026,400 IM,4:02.35,4:13.74,4:48.83,242.35,253.74,288.83,3.0987,odac 2026 MENS swim-full-results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,50 Free,23.74,24.61,25.64,23.74,24.61,25.64,0.1267,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,100 Free,52.33,54.83,1:01.54,52.33,54.83,61.54,0.614,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,200 Free,1:55.15,1:59.00,2:07.41,115.15,119.0,127.41,0.8173,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,500 Free,5:06.61,5:20.73,5:32.30,306.61,320.73,332.3,1.7127,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,1650 Free,17:29.61,18:40.31,19:36.29,1049.61,1120.31,1176.29,8.4453,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,100 Back,56.80,1:01.84,1:05.47,56.8,61.84,65.47,0.578,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,200 Back,2:03.50,2:14.85,2:22.88,123.5,134.85,142.88,1.292,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,100 Breast,1:04.49,1:08.27,1:13.22,64.49,68.27,73.22,0.582,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,200 Breast,2:21.67,2:31.07,2:49.15,141.67,151.07,169.15,1.832,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,100 Fly,56.83,1:01.12,1:04.79,56.83,61.12,64.79,0.5307,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,200 Fly,2:06.83,2:17.34,4:07.45,126.83,137.34,247.45,8.0413,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,200 IM,2:06.68,2:12.42,2:16.20,126.68,132.42,136.2,0.6347,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
ODAC,2026,women,odac_2026,400 IM,4:36.06,4:47.91,5:22.69,276.06,287.91,322.69,3.1087,odac 2026 WOMENS swim_results.pdf,prelim_fallback,,,
