Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
PCSC,2026,men,pcsc_2026,50 Free,20.14,20.95,21.17,20.14,20.95,21.17,0.0687,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,100 Free,43.97,45.37,47.01,43.97,45.37,47.01,0.2027,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,200 Free,1:38.77,1:42.52,1:52.40,98.77,102.52,112.4,0.9087,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,500 Free,4:27.96,4:51.70,5:08.09,267.96,291.7,308.09,2.6753,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,1000 Free,9:15.95,9:50.55,10:41.08,555.95,590.55,641.08,5.6753,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,1650 Free,15:40.68,16:40.24,17:48.44,940.68,1000.24,1068.44,8.5173,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,100 Back,49.30,52.00,54.39,49.3,52.0,54.39,0.3393,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,200 Back,1:46.65,1:56.15,2:09.26,106.65,116.15,129.26,1.5073,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,100 Breast,55.24,57.01,1:01.20,55.24,57.01,61.2,0.3973,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,200 Breast,2:00.10,2:07.91,2:22.93,120.1,127.91,142.93,1.522,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,100 Fly,48.07,50.07,51.59,48.07,50.07,51.59,0.2347,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,200 Fly,1:48.84,1:53.62,2:12.97,108.84,113.62,132.97,1.6087,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,200 IM,1:47.34,1:53.67,2:08.04,107.34,113.67,128.04,1.38,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,men,pcsc_2026,400 IM,3:54.26,4:12.85,4:29.03,234.26,252.85,269.03,2.318,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,50 Free,23.42,23.86,24.82,23.42,23.86,24.82,0.0933,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,100 Free,50.12,53.03,53.16,50.12,53.03,53.16,0.2027,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,200 Free,1:51.52,1:55.18,1:56.61,111.52,115.18,116.61,0.3393,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,500 Free,4:57.58,5:09.69,5:17.34,297.58,309.69,317.34,1.3173,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,1000 Free,10:06.84,10:37.11,10:48.23,606.84,637.11,648.23,2.7593,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,1650 Free,16:57.28,18:03.15,18:21.78,1017.28,1083.15,1101.78,5.6333,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,100 Back,55.62,58.79,58.69,55.62,58.79,58.69,0.2047,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,200 Back,2:01.82,2:07.10,2:09.48,121.82,127.1,129.48,0.5107,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,100 Breast,1:04.07,1:05.20,1:07.82,64.07,65.2,67.82,0.25,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,200 Breast,2:16.81,2:22.92,2:27.70,136.81,142.92,147.7,0.726,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,100 Fly,54.44,58.16,58.73,54.44,58.16,58.73,0.286,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,200 Fly,2:02.92,2:08.76,2:12.43,122.92,128.76,132.43,0.634,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,200 IM,2:01.71,2:08.83,2:11.00,121.71,128.83,131.0,0.6193,PCSC 2026 Results.pdf,prelim_fallback,,,
PCSC,2026,women,pcsc_2026,400 IM,4:23.31,4:35.30,4:42.07,263.31,275.3,282.07,1.2507,PCSC 2026 Results.pdf,prelim_fallback,,,
