Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
PSAC,2026,men,psac_2026,50 Free,20.23,20.95,21.47,20.23,20.95,21.47,0.0827,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,100 Free,44.30,46.73,47.07,44.3,46.73,47.07,0.1847,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,200 Free,1:37.97,1:42.36,1:47.50,97.97,102.36,107.5,0.6353,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,500 Free,4:23.91,4:41.46,4:55.44,263.91,281.46,295.44,2.102,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,1000 Free,9:13.02,9:45.42,10:01.66,553.02,585.42,601.66,3.2427,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,1650 Free,15:19.54,16:23.64,16:52.34,919.54,983.64,1012.34,6.1867,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,100 Back,48.81,51.28,52.99,48.81,51.28,52.99,0.2787,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,200 Back,1:46.74,1:52.70,1:57.65,106.74,112.7,117.65,0.7273,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,100 Breast,55.46,56.71,58.64,55.46,56.71,58.64,0.212,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,200 Breast,2:01.85,2:04.49,2:08.58,121.85,124.49,128.58,0.4487,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,100 Fly,48.32,49.98,51.12,48.32,49.98,51.12,0.1867,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,200 Fly,1:48.89,1:54.67,1:57.04,108.89,114.67,117.04,0.5433,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,200 IM,1:47.63,1:51.79,1:57.74,107.63,111.79,117.74,0.674,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,men,psac_2026,400 IM,3:53.46,4:10.48,4:14.59,233.46,250.48,254.59,1.4087,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,women,psac_2026,50 Free,23.03,23.99,24.51,23.03,23.99,24.51,0.0987,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,women,psac_2026,100 Free,50.58,53.29,53.37,50.58,53.29,53.37,0.186,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,women,psac_2026,200 Free,1:51.61,1:54.95,2:00.73,111.61,114.95,120.73,0.608,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,women,psac_2026,500 Free,4:58.33,5:17.59,5:14.73,298.33,317.59,314.73,1.0933,PSAC 2026 RESULTS.pdf,finals,,,
PSAC,2026,women,psac_2026,1000 Free,10:13.47,10:35.17,10:52.83,613.47,635.17,652.83,2.624,PSAC 2026 RESULTS.pdf,finals,,,
