Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
SCIAC,2026,men,sciac_2026,50 Free,20.36,21.03,21.57,20.36,21.03,21.57,0.0807,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,100 Free,45.16,45.74,48.19,45.16,45.74,48.19,0.202,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,200 Free,1:39.07,1:41.77,1:44.00,99.07,101.77,104.0,0.3287,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,500 Free,4:28.48,4:39.57,4:47.18,268.48,279.57,287.18,1.2467,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,1650 Free,15:37.94,16:19.53,18:10.03,937.94,979.53,1090.03,10.1393,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,100 Back,49.29,52.37,53.82,49.29,52.37,53.82,0.302,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,200 Back,1:49.26,1:53.50,1:57.21,109.26,113.5,117.21,0.53,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,100 Breast,54.97,56.97,59.80,54.97,56.97,59.8,0.322,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,200 Breast,2:00.72,2:06.33,2:10.73,120.72,126.33,130.73,0.6673,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,100 Fly,48.07,50.80,51.12,48.07,50.8,51.12,0.2033,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,200 Fly,1:47.58,1:54.06,1:59.42,107.58,114.06,119.42,0.7893,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,200 IM,1:49.01,1:52.74,1:54.22,109.01,112.74,114.22,0.3473,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,men,sciac_2026,400 IM,3:55.65,4:04.51,4:13.35,235.65,244.51,253.35,1.18,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,50 Free,22.82,24.30,24.99,22.82,24.3,24.99,0.1447,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,100 Free,50.13,52.10,55.19,50.13,52.1,55.19,0.3373,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,200 Free,1:48.59,1:55.17,1:59.80,108.59,115.17,119.8,0.7473,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,500 Free,5:00.84,5:15.89,5:22.48,300.84,315.89,322.48,1.4427,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,1650 Free,17:08.24,17:59.57,18:32.22,1028.24,1079.57,1112.22,5.5987,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,100 Back,55.93,58.86,1:00.38,55.93,58.86,60.38,0.2967,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,200 Back,2:02.26,2:09.54,2:11.46,122.26,129.54,131.46,0.6133,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,100 Breast,1:03.52,1:08.59,1:11.94,63.52,68.59,71.94,0.5613,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,200 Breast,2:19.60,2:31.44,2:32.77,139.6,151.44,152.77,0.878,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,100 Fly,54.22,57.38,1:00.62,54.22,57.38,60.62,0.4267,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,200 Fly,2:01.01,2:10.37,2:35.10,121.01,130.37,155.1,2.2727,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,200 IM,2:04.44,2:09.07,2:12.70,124.44,129.07,132.7,0.5507,2026_sciac_conference_results.pdf,finals,,,
SCIAC,2026,women,sciac_2026,400 IM,4:25.90,4:38.51,4:53.77,265.9,278.51,293.77,1.858,2026_sciac_conference_results.pdf,finals,,,
