Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
SEC,2026,men,sec_2026,50 Free,18.42,18.94,19.51,18.42,18.94,19.51,0.0727,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,100 Free,40.42,42.03,43.41,40.42,42.03,43.41,0.1993,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,200 Free,1:31.53,1:35.10,1:34.17,91.53,95.1,94.17,0.176,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,500 Free,4:08.46,4:13.02,4:17.73,248.46,253.02,257.73,0.618,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,1650 Free,14:25.14,14:47.85,15:03.96,865.14,887.85,903.96,2.588,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,100 Back,43.86,45.23,48.99,43.86,45.23,48.99,0.342,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,200 Back,1:36.38,1:41.31,1:42.39,96.38,101.31,102.39,0.4007,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,100 Breast,49.92,51.81,52.91,49.92,51.81,52.91,0.1993,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,200 Breast,1:48.94,1:55.22,1:55.69,108.94,115.22,115.69,0.45,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,100 Fly,43.06,45.42,46.23,43.06,45.42,46.23,0.2113,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,200 Fly,1:38.46,1:41.35,1:43.85,98.46,101.35,103.85,0.3593,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,200 IM,1:40.53,1:44.07,1:45.66,100.53,104.07,105.66,0.342,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,men,sec_2026,400 IM,3:35.75,3:44.87,3:45.94,215.75,224.87,225.94,0.6793,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,50 Free,20.87,22.03,22.58,20.87,22.03,22.58,0.114,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,100 Free,46.01,48.42,49.03,46.01,48.42,49.03,0.2013,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,200 Free,1:41.71,1:44.25,1:46.62,101.71,104.25,106.62,0.3273,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,500 Free,4:30.53,4:45.50,4:45.09,270.53,285.5,285.09,0.9707,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,1650 Free,15:32.75,16:15.59,16:29.03,932.75,975.59,989.03,3.752,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,100 Back,50.50,51.99,52.83,50.5,51.99,52.83,0.1553,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,200 Back,1:49.94,1:55.36,1:57.26,109.94,115.36,117.26,0.488,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,100 Breast,57.11,1:00.29,1:00.51,57.11,60.29,60.51,0.2267,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,200 Breast,2:07.26,2:10.14,2:12.11,127.26,130.14,132.11,0.3233,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,100 Fly,50.35,52.30,52.94,50.35,52.3,52.94,0.1727,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,200 Fly,1:50.60,1:56.80,1:58.72,110.6,116.8,118.72,0.5413,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,200 IM,1:53.90,1:58.43,2:03.15,113.9,118.43,123.15,0.6167,2026-SEC-Complete-Results.pdf,finals,,,
SEC,2026,women,sec_2026,400 IM,4:01.97,4:15.35,4:15.63,241.97,255.35,255.63,0.9107,2026-SEC-Complete-Results.pdf,finals,,,
