Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
Summit League,2026,men,summitleague_2026,50 Free,19.15,20.68,20.95,19.15,20.68,20.95,0.12,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,100 Free,42.98,45.18,47.49,42.98,45.18,47.49,0.3007,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,200 Free,1:37.69,1:40.35,1:41.80,97.69,100.35,101.8,0.274,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,500 Free,4:22.31,4:36.93,4:37.16,262.31,276.93,277.16,0.99,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,1650 Free,15:04.40,15:53.50,16:53.90,904.4,953.5,1013.9,7.3,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,100 Back,5:35.00,4:27.20,50.31,335.0,267.2,50.31,-18.9793,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,200 Back,1:42.68,1:51.26,1:55.11,102.68,111.26,115.11,0.8287,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,100 Breast,52.61,55.99,56.98,52.61,55.99,56.98,0.2913,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,200 Breast,1:58.50,2:02.04,2:05.48,118.5,122.04,125.48,0.4653,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,100 Fly,46.53,49.07,49.89,46.53,49.07,49.89,0.224,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,200 Fly,1:47.77,1:52.01,1:52.36,107.77,112.01,112.36,0.306,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,200 IM,1:47.44,1:51.12,1:53.87,107.44,111.12,113.87,0.4287,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,men,summitleague_2026,400 IM,3:49.45,4:00.71,4:05.68,229.45,240.71,245.68,1.082,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,50 Free,22.75,23.51,24.06,22.75,23.51,24.06,0.0873,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,100 Free,50.14,51.70,53.42,50.14,51.7,53.42,0.2187,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,200 Free,1:48.33,1:52.47,1:55.33,108.33,112.47,115.33,0.4667,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,500 Free,4:49.40,5:07.39,5:14.96,289.4,307.39,314.96,1.704,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,1650 Free,16:48.52,17:27.81,17:59.68,1008.52,1047.81,1079.68,4.744,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,100 Back,54.42,57.96,58.28,54.42,57.96,58.28,0.2573,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,200 Back,1:57.76,2:04.23,2:07.18,117.76,124.23,127.18,0.628,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,100 Breast,1:01.30,1:03.88,1:06.38,61.3,63.88,66.38,0.3387,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,200 Breast,2:13.36,2:21.68,2:25.85,133.36,141.68,145.85,0.8327,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,100 Fly,52.86,56.68,58.00,52.86,56.68,58.0,0.3427,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,200 Fly,1:59.96,2:08.84,2:20.40,119.96,128.84,140.4,1.3627,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,200 IM,2:00.13,2:05.19,2:08.18,120.13,125.19,128.18,0.5367,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
Summit League,2026,women,summitleague_2026,400 IM,4:14.97,4:38.47,4:38.70,254.97,278.47,278.7,1.582,SUMMIT LEAGUE 2026 RESULTS.pdf,finals,,,
