Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
UAA,2026,men,uaa_2026,50 Free,19.72,20.43,20.99,19.72,20.43,20.99,0.0847,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,100 Free,43.16,45.05,45.43,43.16,45.05,45.43,0.1513,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 Free,1:35.66,1:39.39,1:40.51,95.66,99.39,100.51,0.3233,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,500 Free,4:23.98,4:35.22,4:35.47,263.98,275.22,275.47,0.766,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,1650 Free,15:24.33,15:59.31,16:29.93,924.33,959.31,989.93,4.3733,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,100 Back,46.67,49.77,50.92,46.67,49.77,50.92,0.2833,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 Back,1:42.74,1:48.60,1:52.02,102.74,108.6,112.02,0.6187,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,100 Breast,53.71,55.64,56.69,53.71,55.64,56.69,0.1987,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 Breast,1:57.25,2:01.74,2:05.49,117.25,121.74,125.49,0.5493,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,100 Fly,46.39,48.73,49.40,46.39,48.73,49.4,0.2007,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 Fly,3:20.42,3:46.80,1:51.25,200.42,226.8,111.25,-5.9447,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,200 IM,1:46.69,1:49.13,1:53.88,106.69,109.13,113.88,0.4793,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,men,uaa_2026,400 IM,3:49.97,3:57.25,4:06.36,229.97,237.25,246.36,1.0927,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,50 Free,22.43,23.68,24.01,22.43,23.68,24.01,0.1053,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,100 Free,48.30,51.45,52.20,48.3,51.45,52.2,0.26,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 Free,1:44.74,1:51.83,1:54.73,104.74,111.83,114.73,0.666,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,500 Free,4:54.08,5:01.93,5:05.47,294.08,301.93,305.47,0.7593,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,1650 Free,16:59.77,17:31.77,18:04.19,1019.77,1051.77,1084.19,4.2947,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,100 Back,54.58,56.34,58.83,54.58,56.34,58.83,0.2833,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 Back,1:59.60,2:05.30,2:06.94,119.6,125.3,126.945,0.4897,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,100 Breast,1:02.03,1:04.63,1:06.25,62.03,64.63,66.25,0.2813,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 Breast,2:15.96,2:20.64,2:24.37,135.96,140.64,144.37,0.5607,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,100 Fly,54.77,56.04,57.90,54.77,56.04,57.9,0.2087,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 Fly,1:59.94,2:08.12,2:08.33,119.94,128.12,128.33,0.5593,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,200 IM,2:01.01,2:07.09,2:09.41,121.01,127.09,129.41,0.56,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
UAA,2026,women,uaa_2026,400 IM,4:23.09,4:32.79,4:44.06,263.09,272.79,284.06,1.398,2026 UAA Championships-FullSWIMResults.pdf,finals,,,
