Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality,1st_flags,8th_flags,16th_flags
NCAC,unknown,men,unknown_unknown,100 Free,43.58,45.41,47.33,43.58,45.41,47.33,0.25,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,200 Free,1:35.66,1:40.59,1:44.56,95.66,100.59,104.56,0.5933,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,500 Free,4:26.22,4:35.15,4:40.90,266.22,275.15,280.9,0.9787,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,1650 Free,15:24.75,16:04.18,16:48.88,924.75,964.18,1008.88,5.6087,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,100 Back,48.42,50.29,52.13,48.42,50.29,52.13,0.2473,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,200 Back,1:46.42,1:51.38,1:56.32,106.42,111.38,116.32,0.66,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,100 Breast,54.42,56.10,59.19,54.42,56.1,59.19,0.318,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,200 Breast,2:00.78,2:04.33,2:07.57,120.78,124.33,127.57,0.4527,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,100 Fly,47.57,50.17,50.92,47.57,50.17,50.92,0.2233,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,200 Fly,1:48.41,1:53.61,1:59.84,108.41,113.61,119.84,0.762,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,200 IM,1:47.02,1:51.86,1:55.90,107.02,111.86,115.9,0.592,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,men,unknown_unknown,400 IM,3:52.99,4:07.91,4:16.50,232.99,247.91,256.5,1.5673,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,50 Free,23.21,23.87,25.04,23.21,23.87,25.04,0.122,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,100 Free,50.46,52.79,54.87,50.46,52.79,54.87,0.294,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,200 Free,1:49.68,1:53.84,2:00.03,109.68,113.84,120.03,0.69,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,500 Free,4:51.06,5:05.42,5:20.32,291.06,305.42,320.32,1.9507,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,1650 Free,16:40.29,17:46.77,19:17.81,1000.29,1066.77,1157.81,10.5013,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,100 Back,54.36,57.43,1:01.06,54.36,57.43,61.06,0.4467,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,200 Back,1:59.91,2:08.51,2:16.23,119.91,128.51,136.23,1.088,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,100 Breast,1:01.32,1:07.55,1:11.98,61.32,67.55,71.98,0.7107,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,200 Breast,2:14.19,2:31.58,2:47.08,134.19,151.58,167.08,2.1927,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,100 Fly,55.38,57.20,1:00.25,55.38,57.2,60.25,0.3247,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,200 Fly,2:01.81,2:11.15,2:22.80,121.81,131.15,142.8,1.3993,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,200 IM,2:03.72,2:10.91,2:15.45,123.72,130.91,135.45,0.782,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
NCAC,unknown,women,unknown_unknown,400 IM,4:22.77,4:47.58,5:00.99,262.77,287.58,300.99,2.548,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,finals,,,
