Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
asun_2026,ASUN,2026,men,50 Free,captured,yes,prelim_fallback,,28,34,16,yes
asun_2026,ASUN,2026,men,100 Free,captured,yes,prelim_fallback,,29,29,16,yes
asun_2026,ASUN,2026,men,200 Free,captured,yes,prelim_fallback,,28,28,16,yes
asun_2026,ASUN,2026,men,500 Free,captured,yes,prelim_fallback,,27,27,16,yes
asun_2026,ASUN,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
asun_2026,ASUN,2026,men,1650 Free,captured,yes,prelim_fallback,,20,20,16,yes
asun_2026,ASUN,2026,men,100 Back,captured,yes,prelim_fallback,,17,17,16,yes
asun_2026,ASUN,2026,men,200 Back,captured,yes,prelim_fallback,,16,16,16,yes
asun_2026,ASUN,2026,men,100 Breast,captured,yes,prelim_fallback,,21,28,16,yes
asun_2026,ASUN,2026,men,200 Breast,captured,yes,prelim_fallback,,21,21,16,yes
asun_2026,ASUN,2026,men,100 Fly,captured,yes,prelim_fallback,,21,21,16,yes
asun_2026,ASUN,2026,men,200 Fly,captured,yes,prelim_fallback,,19,19,16,yes
asun_2026,ASUN,2026,men,200 IM,captured,yes,prelim_fallback,,23,24,16,yes
asun_2026,ASUN,2026,men,400 IM,captured,yes,prelim_fallback,,26,26,16,yes
asun_2026,ASUN,2026,women,50 Free,captured,yes,prelim_fallback,,47,49,16,yes
asun_2026,ASUN,2026,women,100 Free,captured,yes,prelim_fallback,,45,47,16,yes
asun_2026,ASUN,2026,women,200 Free,captured,yes,prelim_fallback,,36,36,16,yes
asun_2026,ASUN,2026,women,500 Free,captured,yes,prelim_fallback,,37,37,16,yes
asun_2026,ASUN,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
asun_2026,ASUN,2026,women,1650 Free,captured,yes,prelim_fallback,,24,24,16,yes
asun_2026,ASUN,2026,women,100 Back,captured,yes,prelim_fallback,,34,36,16,yes
asun_2026,ASUN,2026,women,200 Back,captured,yes,prelim_fallback,,30,30,16,yes
asun_2026,ASUN,2026,women,100 Breast,captured,yes,prelim_fallback,,31,31,16,yes
asun_2026,ASUN,2026,women,200 Breast,captured,yes,prelim_fallback,,27,27,16,yes
asun_2026,ASUN,2026,women,100 Fly,captured,yes,prelim_fallback,,28,30,16,yes
asun_2026,ASUN,2026,women,200 Fly,captured,yes,prelim_fallback,,29,29,16,yes
asun_2026,ASUN,2026,women,200 IM,captured,yes,prelim_fallback,,30,31,16,yes
asun_2026,ASUN,2026,women,400 IM,captured,yes,prelim_fallback,,28,28,16,yes
