Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
big12_unknown,Big 12,unknown,men,50 Free,captured,yes,finals,,39,41,16,yes
big12_unknown,Big 12,unknown,men,100 Free,captured,yes,finals,,32,32,16,yes
big12_unknown,Big 12,unknown,men,200 Free,captured,yes,finals,,17,21,16,yes
big12_unknown,Big 12,unknown,men,500 Free,captured,yes,finals,,36,36,16,yes
big12_unknown,Big 12,unknown,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
big12_unknown,Big 12,unknown,men,1650 Free,captured,yes,finals,,26,26,16,yes
big12_unknown,Big 12,unknown,men,100 Back,captured,yes,finals,,20,22,16,yes
big12_unknown,Big 12,unknown,men,200 Back,captured,yes,finals,,32,32,16,yes
big12_unknown,Big 12,unknown,men,100 Breast,captured,yes,finals,,27,27,16,yes
big12_unknown,Big 12,unknown,men,200 Breast,captured,yes,finals,,32,32,16,yes
big12_unknown,Big 12,unknown,men,100 Fly,captured,yes,finals,,38,40,16,yes
big12_unknown,Big 12,unknown,men,200 Fly,captured,yes,finals,,30,30,16,yes
big12_unknown,Big 12,unknown,men,200 IM,captured,yes,finals,,36,41,16,yes
big12_unknown,Big 12,unknown,men,400 IM,captured,yes,finals,,31,32,16,yes
big12_unknown,Big 12,unknown,women,50 Free,captured,yes,finals,,56,64,16,yes
big12_unknown,Big 12,unknown,women,100 Free,captured,yes,finals,,52,55,16,yes
big12_unknown,Big 12,unknown,women,200 Free,captured,yes,finals,,55,61,16,yes
big12_unknown,Big 12,unknown,women,500 Free,captured,yes,finals,,44,46,16,yes
big12_unknown,Big 12,unknown,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
big12_unknown,Big 12,unknown,women,1650 Free,captured,yes,finals,,36,36,16,yes
big12_unknown,Big 12,unknown,women,100 Back,captured,yes,finals,,38,40,16,yes
big12_unknown,Big 12,unknown,women,200 Back,captured,yes,finals,,47,49,16,yes
big12_unknown,Big 12,unknown,women,100 Breast,captured,yes,finals,,37,38,16,yes
big12_unknown,Big 12,unknown,women,200 Breast,captured,yes,finals,,40,42,16,yes
big12_unknown,Big 12,unknown,women,100 Fly,captured,yes,finals,,55,55,16,yes
big12_unknown,Big 12,unknown,women,200 Fly,captured,yes,finals,,41,41,16,yes
big12_unknown,Big 12,unknown,women,200 IM,captured,yes,finals,,60,60,16,yes
big12_unknown,Big 12,unknown,women,400 IM,captured,yes,finals,,41,41,16,yes
