Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
bigeast_2026,Big East,2026,men,50 Free,captured,yes,prelim_fallback,,23,25,16,yes
bigeast_2026,Big East,2026,men,100 Free,captured,yes,prelim_fallback,,15,42,16,yes
bigeast_2026,Big East,2026,men,200 Free,captured,yes,prelim_fallback,,14,16,16,yes
bigeast_2026,Big East,2026,men,500 Free,captured,yes,prelim_fallback,,17,20,16,yes
bigeast_2026,Big East,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
bigeast_2026,Big East,2026,men,1650 Free,captured,yes,prelim_fallback,,12,12,16,yes
bigeast_2026,Big East,2026,men,100 Back,captured,yes,prelim_fallback,,15,46,16,yes
bigeast_2026,Big East,2026,men,200 Back,captured,yes,prelim_fallback,,20,20,16,yes
bigeast_2026,Big East,2026,men,100 Breast,captured,yes,prelim_fallback,,15,52,16,yes
bigeast_2026,Big East,2026,men,200 Breast,captured,yes,prelim_fallback,,16,16,16,yes
bigeast_2026,Big East,2026,men,100 Fly,captured,yes,prelim_fallback,,15,46,16,yes
bigeast_2026,Big East,2026,men,200 Fly,captured,yes,prelim_fallback,,16,16,16,yes
bigeast_2026,Big East,2026,men,200 IM,captured,yes,prelim_fallback,,16,16,16,yes
bigeast_2026,Big East,2026,men,400 IM,captured,yes,prelim_fallback,,14,16,16,yes
bigeast_2026,Big East,2026,women,50 Free,captured,yes,prelim_fallback,,23,24,16,yes
bigeast_2026,Big East,2026,women,100 Free,captured,yes,prelim_fallback,,30,48,16,yes
bigeast_2026,Big East,2026,women,200 Free,captured,yes,prelim_fallback,,31,33,16,yes
bigeast_2026,Big East,2026,women,500 Free,captured,yes,prelim_fallback,,24,24,16,yes
bigeast_2026,Big East,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
bigeast_2026,Big East,2026,women,1650 Free,captured,yes,prelim_fallback,,21,21,16,yes
bigeast_2026,Big East,2026,women,100 Back,captured,yes,prelim_fallback,,25,52,16,yes
bigeast_2026,Big East,2026,women,200 Back,captured,yes,prelim_fallback,,22,24,16,yes
bigeast_2026,Big East,2026,women,100 Breast,captured,yes,prelim_fallback,,20,20,16,yes
bigeast_2026,Big East,2026,women,200 Breast,captured,yes,prelim_fallback,,21,32,16,yes
bigeast_2026,Big East,2026,women,100 Fly,captured,yes,prelim_fallback,,25,52,16,yes
bigeast_2026,Big East,2026,women,200 Fly,captured,yes,prelim_fallback,,24,24,16,yes
bigeast_2026,Big East,2026,women,200 IM,captured,yes,prelim_fallback,,27,33,16,yes
bigeast_2026,Big East,2026,women,400 IM,captured,yes,prelim_fallback,,20,20,16,yes
