Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
bigten_2026,Big Ten,2026,men,50 Free,captured,yes,finals,,24,24,16,yes
bigten_2026,Big Ten,2026,men,100 Free,captured,yes,finals,,23,42,16,yes
bigten_2026,Big Ten,2026,men,200 Free,captured,yes,finals,,22,24,16,yes
bigten_2026,Big Ten,2026,men,500 Free,captured,yes,finals,,24,24,16,yes
bigten_2026,Big Ten,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
bigten_2026,Big Ten,2026,men,1650 Free,captured,yes,finals,,23,23,16,yes
bigten_2026,Big Ten,2026,men,100 Back,captured,yes,finals,,23,46,16,yes
bigten_2026,Big Ten,2026,men,200 Back,captured,yes,finals,,24,24,16,yes
bigten_2026,Big Ten,2026,men,100 Breast,captured,yes,finals,,25,52,16,yes
bigten_2026,Big Ten,2026,men,200 Breast,captured,yes,finals,,24,24,16,yes
bigten_2026,Big Ten,2026,men,100 Fly,captured,yes,finals,,23,46,16,yes
bigten_2026,Big Ten,2026,men,200 Fly,captured,yes,finals,,24,24,16,yes
bigten_2026,Big Ten,2026,men,200 IM,captured,yes,finals,,21,24,16,yes
bigten_2026,Big Ten,2026,men,400 IM,captured,yes,finals,,24,24,16,yes
bigten_2026,Big Ten,2026,women,50 Free,captured,yes,prelim_fallback,,31,46,16,yes
bigten_2026,Big Ten,2026,women,100 Free,captured,yes,prelim_fallback,,60,64,16,yes
bigten_2026,Big Ten,2026,women,200 Free,captured,yes,prelim_fallback,,51,64,16,yes
bigten_2026,Big Ten,2026,women,500 Free,captured,yes,prelim_fallback,,45,48,16,yes
bigten_2026,Big Ten,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
bigten_2026,Big Ten,2026,women,1650 Free,captured,yes,prelim_fallback,,25,25,16,yes
bigten_2026,Big Ten,2026,women,100 Back,captured,yes,prelim_fallback,,34,52,16,yes
bigten_2026,Big Ten,2026,women,200 Back,captured,yes,prelim_fallback,,24,24,16,yes
bigten_2026,Big Ten,2026,women,100 Breast,captured,yes,prelim_fallback,,40,42,16,yes
bigten_2026,Big Ten,2026,women,200 Breast,captured,yes,prelim_fallback,,33,48,16,yes
bigten_2026,Big Ten,2026,women,100 Fly,captured,yes,prelim_fallback,,53,56,16,yes
bigten_2026,Big Ten,2026,women,200 Fly,captured,yes,prelim_fallback,,24,24,16,yes
bigten_2026,Big Ten,2026,women,200 IM,captured,yes,prelim_fallback,,33,52,16,yes
bigten_2026,Big Ten,2026,women,400 IM,captured,yes,prelim_fallback,,41,41,16,yes
