Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
bigwest_2026,Big West,2026,men,50 Free,captured,yes,finals,,34,38,16,yes
bigwest_2026,Big West,2026,men,100 Free,captured,yes,finals,,18,42,16,yes
bigwest_2026,Big West,2026,men,200 Free,captured,yes,finals,,16,16,16,yes
bigwest_2026,Big West,2026,men,500 Free,captured,yes,finals,,20,20,16,yes
bigwest_2026,Big West,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
bigwest_2026,Big West,2026,men,1650 Free,captured,yes,finals,,17,17,16,yes
bigwest_2026,Big West,2026,men,100 Back,captured,yes,finals,,16,46,16,yes
bigwest_2026,Big West,2026,men,200 Back,captured,yes,finals,,16,16,16,yes
bigwest_2026,Big West,2026,men,100 Breast,captured,yes,finals,,18,52,16,yes
bigwest_2026,Big West,2026,men,200 Breast,captured,yes,finals,,15,15,16,yes
bigwest_2026,Big West,2026,men,100 Fly,captured,yes,finals,,18,46,16,yes
bigwest_2026,Big West,2026,men,200 Fly,captured,yes,finals,,16,16,16,yes
bigwest_2026,Big West,2026,men,200 IM,captured,yes,finals,,29,30,16,yes
bigwest_2026,Big West,2026,men,400 IM,captured,yes,finals,,16,16,16,yes
bigwest_2026,Big West,2026,women,50 Free,captured,yes,finals,,31,33,16,yes
bigwest_2026,Big West,2026,women,100 Free,captured,yes,finals,,17,48,16,yes
bigwest_2026,Big West,2026,women,200 Free,captured,yes,finals,,16,16,16,yes
bigwest_2026,Big West,2026,women,500 Free,captured,yes,finals,,34,34,16,yes
bigwest_2026,Big West,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
bigwest_2026,Big West,2026,women,1650 Free,captured,yes,finals,,21,21,16,yes
bigwest_2026,Big West,2026,women,100 Back,captured,yes,finals,,18,52,16,yes
bigwest_2026,Big West,2026,women,200 Back,captured,yes,finals,,16,16,16,yes
bigwest_2026,Big West,2026,women,100 Breast,captured,yes,finals,,17,59,16,yes
bigwest_2026,Big West,2026,women,200 Breast,captured,yes,finals,,16,16,16,yes
bigwest_2026,Big West,2026,women,100 Fly,captured,yes,finals,,18,52,16,yes
bigwest_2026,Big West,2026,women,200 Fly,captured,yes,finals,,16,16,16,yes
bigwest_2026,Big West,2026,women,200 IM,captured,yes,finals,,29,29,16,yes
bigwest_2026,Big West,2026,women,400 IM,captured,yes,finals,,16,16,16,yes
