Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
coloradocollege_unknown,Colorado College,unknown,men,50 Free,captured,yes,finals,,24,36,16,yes
coloradocollege_unknown,Colorado College,unknown,men,100 Free,captured,yes,finals,,33,35,16,yes
coloradocollege_unknown,Colorado College,unknown,men,200 Free,captured,yes,finals,,24,28,16,yes
coloradocollege_unknown,Colorado College,unknown,men,500 Free,captured,yes,finals,,25,32,16,yes
coloradocollege_unknown,Colorado College,unknown,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
coloradocollege_unknown,Colorado College,unknown,men,1650 Free,captured,yes,finals,,22,22,16,yes
coloradocollege_unknown,Colorado College,unknown,men,100 Back,captured,yes,finals,,16,16,16,yes
coloradocollege_unknown,Colorado College,unknown,men,200 Back,captured,yes,finals,,21,23,16,yes
coloradocollege_unknown,Colorado College,unknown,men,100 Breast,captured,yes,finals,,20,24,16,yes
coloradocollege_unknown,Colorado College,unknown,men,200 Breast,captured,yes,finals,,19,19,16,yes
coloradocollege_unknown,Colorado College,unknown,men,100 Fly,captured,yes,finals,,25,29,16,yes
coloradocollege_unknown,Colorado College,unknown,men,200 Fly,captured,yes,finals,,21,21,16,yes
coloradocollege_unknown,Colorado College,unknown,men,200 IM,captured,yes,finals,,24,28,16,yes
coloradocollege_unknown,Colorado College,unknown,men,400 IM,captured,yes,finals,,18,18,16,yes
coloradocollege_unknown,Colorado College,unknown,women,50 Free,captured,yes,finals,,14,16,16,yes
coloradocollege_unknown,Colorado College,unknown,women,100 Free,captured,yes,finals,,38,42,16,yes
coloradocollege_unknown,Colorado College,unknown,women,200 Free,captured,yes,finals,,23,29,16,yes
coloradocollege_unknown,Colorado College,unknown,women,500 Free,captured,yes,finals,,32,38,16,yes
coloradocollege_unknown,Colorado College,unknown,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
coloradocollege_unknown,Colorado College,unknown,women,1650 Free,captured,yes,finals,,18,18,16,yes
coloradocollege_unknown,Colorado College,unknown,women,100 Back,captured,yes,finals,,22,26,16,yes
coloradocollege_unknown,Colorado College,unknown,women,200 Back,captured,yes,finals,,26,26,16,yes
coloradocollege_unknown,Colorado College,unknown,women,100 Breast,captured,yes,finals,,27,47,16,yes
coloradocollege_unknown,Colorado College,unknown,women,200 Breast,captured,yes,finals,,26,26,16,yes
coloradocollege_unknown,Colorado College,unknown,women,100 Fly,captured,yes,finals,,30,34,16,yes
coloradocollege_unknown,Colorado College,unknown,women,200 Fly,captured,yes,finals,,21,21,16,yes
coloradocollege_unknown,Colorado College,unknown,women,200 IM,captured,yes,finals,,23,27,16,yes
coloradocollege_unknown,Colorado College,unknown,women,400 IM,captured,yes,finals,,15,16,16,yes
