Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
gliac_2026,GLIAC,2026,men,50 Free,captured,yes,finals,,40,46,16,yes
gliac_2026,GLIAC,2026,men,100 Free,captured,yes,finals,,44,50,16,yes
gliac_2026,GLIAC,2026,men,200 Free,captured,yes,finals,,39,39,16,yes
gliac_2026,GLIAC,2026,men,500 Free,captured,yes,finals,,22,25,16,yes
gliac_2026,GLIAC,2026,men,1000 Free,captured,yes,finals,,25,25,16,yes
gliac_2026,GLIAC,2026,men,1650 Free,captured,yes,finals,,21,21,16,yes
gliac_2026,GLIAC,2026,men,100 Back,captured,yes,finals,,37,48,16,yes
gliac_2026,GLIAC,2026,men,200 Back,captured,yes,finals,,23,23,16,yes
gliac_2026,GLIAC,2026,men,100 Breast,captured,yes,finals,,27,55,16,yes
gliac_2026,GLIAC,2026,men,200 Breast,captured,yes,finals,,23,23,16,yes
gliac_2026,GLIAC,2026,men,100 Fly,captured,yes,finals,,40,48,16,yes
gliac_2026,GLIAC,2026,men,200 Fly,captured,yes,finals,,18,18,16,yes
gliac_2026,GLIAC,2026,men,200 IM,captured,yes,finals,,41,41,16,yes
gliac_2026,GLIAC,2026,men,400 IM,captured,yes,finals,,26,26,16,yes
gliac_2026,GLIAC,2026,women,50 Free,captured,yes,finals,,31,32,16,yes
gliac_2026,GLIAC,2026,women,100 Free,captured,yes,finals,,30,51,16,yes
gliac_2026,GLIAC,2026,women,200 Free,captured,yes,finals,,28,28,16,yes
gliac_2026,GLIAC,2026,women,500 Free,captured,yes,finals,,18,18,16,yes
gliac_2026,GLIAC,2026,women,1000 Free,captured,yes,finals,,19,19,16,yes
gliac_2026,GLIAC,2026,women,1650 Free,captured,yes,finals,,14,14,16,yes
gliac_2026,GLIAC,2026,women,100 Back,captured,yes,finals,,23,56,16,yes
gliac_2026,GLIAC,2026,women,200 Back,captured,yes,finals,,20,20,16,yes
gliac_2026,GLIAC,2026,women,100 Breast,captured,yes,finals,,19,19,16,yes
gliac_2026,GLIAC,2026,women,200 Breast,captured,yes,finals,,19,19,16,yes
gliac_2026,GLIAC,2026,women,100 Fly,captured,yes,finals,,29,56,16,yes
gliac_2026,GLIAC,2026,women,200 Fly,captured,yes,finals,,18,18,16,yes
gliac_2026,GLIAC,2026,women,200 IM,captured,yes,finals,,29,29,16,yes
gliac_2026,GLIAC,2026,women,400 IM,captured,yes,finals,,19,19,16,yes
