Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
landmark_2026,Landmark,2026,men,50 Free,captured,yes,finals,,46,46,16,yes
landmark_2026,Landmark,2026,men,100 Free,captured,yes,finals,,35,44,16,yes
landmark_2026,Landmark,2026,men,200 Free,captured,yes,finals,,21,21,16,yes
landmark_2026,Landmark,2026,men,500 Free,captured,yes,finals,,31,31,16,yes
landmark_2026,Landmark,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
landmark_2026,Landmark,2026,men,1650 Free,captured,yes,finals,,20,20,16,yes
landmark_2026,Landmark,2026,men,100 Back,captured,yes,finals,,26,49,16,yes
landmark_2026,Landmark,2026,men,200 Back,captured,yes,finals,,21,21,16,yes
landmark_2026,Landmark,2026,men,100 Breast,captured,yes,finals,,33,55,16,yes
landmark_2026,Landmark,2026,men,200 Breast,captured,yes,finals,,28,28,16,yes
landmark_2026,Landmark,2026,men,100 Fly,captured,yes,finals,,29,48,16,yes
landmark_2026,Landmark,2026,men,200 Fly,captured,yes,finals,,19,20,16,yes
landmark_2026,Landmark,2026,men,200 IM,captured,yes,finals,,28,29,16,yes
landmark_2026,Landmark,2026,men,400 IM,captured,yes,finals,,23,23,16,yes
landmark_2026,Landmark,2026,women,50 Free,captured,yes,finals,,37,39,16,yes
landmark_2026,Landmark,2026,women,100 Free,captured,yes,finals,,36,51,16,yes
landmark_2026,Landmark,2026,women,200 Free,captured,yes,finals,,27,27,16,yes
landmark_2026,Landmark,2026,women,500 Free,captured,yes,finals,,31,31,16,yes
landmark_2026,Landmark,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
landmark_2026,Landmark,2026,women,1650 Free,captured,yes,finals,,18,18,16,yes
landmark_2026,Landmark,2026,women,100 Back,captured,yes,finals,,27,56,16,yes
landmark_2026,Landmark,2026,women,200 Back,captured,yes,finals,,19,29,16,yes
landmark_2026,Landmark,2026,women,100 Breast,captured,yes,finals,,21,59,16,yes
landmark_2026,Landmark,2026,women,200 Breast,captured,yes,finals,,19,21,16,yes
landmark_2026,Landmark,2026,women,100 Fly,captured,yes,finals,,23,55,16,yes
landmark_2026,Landmark,2026,women,200 Fly,captured,yes,finals,,14,14,16,yes
landmark_2026,Landmark,2026,women,200 IM,captured,yes,finals,,23,23,16,yes
landmark_2026,Landmark,2026,women,400 IM,captured,yes,finals,,18,18,16,yes
