Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
maac_2026,MAAC,2026,men,50 Free,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,men,100 Free,captured,yes,finals,,29,49,16,yes
maac_2026,MAAC,2026,men,200 Free,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,men,500 Free,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
maac_2026,MAAC,2026,men,1650 Free,captured,yes,finals,,28,28,16,yes
maac_2026,MAAC,2026,men,100 Back,captured,yes,finals,,21,56,16,yes
maac_2026,MAAC,2026,men,200 Back,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,men,100 Breast,captured,yes,finals,,27,55,16,yes
maac_2026,MAAC,2026,men,200 Breast,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,men,100 Fly,captured,yes,finals,,26,55,16,yes
maac_2026,MAAC,2026,men,200 Fly,captured,yes,finals,,20,20,16,yes
maac_2026,MAAC,2026,men,200 IM,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,men,400 IM,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,women,50 Free,captured,yes,finals,,23,25,16,yes
maac_2026,MAAC,2026,women,100 Free,missing_true_parser_miss,no,missing,event_detected_but_incomplete,23,55,16,yes
maac_2026,MAAC,2026,women,200 Free,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,women,500 Free,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
maac_2026,MAAC,2026,women,1650 Free,captured,yes,finals,,29,29,16,yes
maac_2026,MAAC,2026,women,100 Back,captured,yes,finals,,27,55,16,yes
maac_2026,MAAC,2026,women,200 Back,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,women,100 Breast,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,women,200 Breast,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,women,100 Fly,captured,yes,finals,,27,55,16,yes
maac_2026,MAAC,2026,women,200 Fly,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,women,200 IM,captured,yes,finals,,24,24,16,yes
maac_2026,MAAC,2026,women,400 IM,captured,yes,finals,,24,24,16,yes
