Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
miac_2026,MIAC,2026,men,50 Free,captured,yes,finals,,31,38,16,yes
miac_2026,MIAC,2026,men,100 Free,captured,yes,finals,,29,44,16,yes
miac_2026,MIAC,2026,men,200 Free,captured,yes,finals,,16,16,16,yes
miac_2026,MIAC,2026,men,500 Free,captured,yes,finals,,23,23,16,yes
miac_2026,MIAC,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
miac_2026,MIAC,2026,men,1650 Free,captured,yes,finals,,16,16,16,yes
miac_2026,MIAC,2026,men,100 Back,captured,yes,finals,,24,49,16,yes
miac_2026,MIAC,2026,men,200 Back,captured,yes,finals,,16,16,16,yes
miac_2026,MIAC,2026,men,100 Breast,captured,yes,finals,,19,55,16,yes
miac_2026,MIAC,2026,men,200 Breast,captured,yes,finals,,16,16,16,yes
miac_2026,MIAC,2026,men,100 Fly,captured,yes,finals,,21,48,16,yes
miac_2026,MIAC,2026,men,200 Fly,captured,yes,finals,,16,16,16,yes
miac_2026,MIAC,2026,men,200 IM,captured,yes,finals,,19,24,16,yes
miac_2026,MIAC,2026,men,400 IM,captured,yes,finals,,16,16,16,yes
miac_2026,MIAC,2026,women,50 Free,captured,yes,finals,,12,23,16,yes
miac_2026,MIAC,2026,women,100 Free,captured,yes,finals,,18,51,16,yes
miac_2026,MIAC,2026,women,200 Free,captured,yes,finals,,31,36,16,yes
miac_2026,MIAC,2026,women,500 Free,captured,yes,finals,,28,36,16,yes
miac_2026,MIAC,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
miac_2026,MIAC,2026,women,1650 Free,captured,yes,finals,,25,25,16,yes
miac_2026,MIAC,2026,women,100 Back,captured,yes,finals,,18,56,16,yes
miac_2026,MIAC,2026,women,200 Back,captured,yes,finals,,26,27,16,yes
miac_2026,MIAC,2026,women,100 Breast,captured,yes,finals,,24,59,16,yes
miac_2026,MIAC,2026,women,200 Breast,captured,yes,finals,,16,16,16,yes
miac_2026,MIAC,2026,women,100 Fly,captured,yes,finals,,18,55,16,yes
miac_2026,MIAC,2026,women,200 Fly,captured,yes,finals,,16,16,16,yes
miac_2026,MIAC,2026,women,200 IM,captured,yes,finals,,25,30,16,yes
miac_2026,MIAC,2026,women,400 IM,captured,yes,finals,,16,16,16,yes
