Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
newmac_2026,NEWMAC,2026,men,50 Free,captured,yes,finals,,19,20,16,yes
newmac_2026,NEWMAC,2026,men,100 Free,missing_true_parser_miss,no,missing,event_detected_but_incomplete,21,46,16,yes
newmac_2026,NEWMAC,2026,men,200 Free,captured,yes,finals,,28,30,16,yes
newmac_2026,NEWMAC,2026,men,500 Free,captured,yes,finals,,29,34,16,yes
newmac_2026,NEWMAC,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
newmac_2026,NEWMAC,2026,men,1650 Free,captured,yes,finals,,19,19,16,yes
newmac_2026,NEWMAC,2026,men,100 Back,captured,yes,finals,,22,49,16,yes
newmac_2026,NEWMAC,2026,men,200 Back,captured,yes,finals,,20,20,16,yes
newmac_2026,NEWMAC,2026,men,100 Breast,captured,yes,finals,,32,55,16,yes
newmac_2026,NEWMAC,2026,men,200 Breast,captured,yes,finals,,31,31,16,yes
newmac_2026,NEWMAC,2026,men,100 Fly,captured,yes,finals,,22,48,16,yes
newmac_2026,NEWMAC,2026,men,200 Fly,captured,yes,finals,,25,25,16,yes
newmac_2026,NEWMAC,2026,men,200 IM,captured,yes,finals,,25,38,16,yes
newmac_2026,NEWMAC,2026,men,400 IM,captured,yes,finals,,20,20,16,yes
newmac_2026,NEWMAC,2026,women,50 Free,captured,yes,finals,,36,56,16,yes
newmac_2026,NEWMAC,2026,women,100 Free,captured,yes,finals,,48,51,16,yes
newmac_2026,NEWMAC,2026,women,200 Free,captured,yes,finals,,42,44,16,yes
newmac_2026,NEWMAC,2026,women,500 Free,captured,yes,finals,,35,46,16,yes
newmac_2026,NEWMAC,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
newmac_2026,NEWMAC,2026,women,1650 Free,captured,yes,finals,,27,27,16,yes
newmac_2026,NEWMAC,2026,women,100 Back,captured,yes,finals,,23,56,16,yes
newmac_2026,NEWMAC,2026,women,200 Back,captured,yes,finals,,29,31,16,yes
newmac_2026,NEWMAC,2026,women,100 Breast,captured,yes,finals,,21,59,16,yes
newmac_2026,NEWMAC,2026,women,200 Breast,captured,yes,finals,,34,34,16,yes
newmac_2026,NEWMAC,2026,women,100 Fly,captured,yes,finals,,32,55,16,yes
newmac_2026,NEWMAC,2026,women,200 Fly,captured,yes,finals,,25,25,16,yes
newmac_2026,NEWMAC,2026,women,200 IM,captured,yes,finals,,32,45,16,yes
newmac_2026,NEWMAC,2026,women,400 IM,captured,yes,finals,,24,26,16,yes
