Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
pcsc_2026,PCSC,2026,men,50 Free,captured,yes,prelim_fallback,,25,44,16,yes
pcsc_2026,PCSC,2026,men,100 Free,captured,yes,prelim_fallback,,24,24,16,yes
pcsc_2026,PCSC,2026,men,200 Free,captured,yes,prelim_fallback,,24,24,16,yes
pcsc_2026,PCSC,2026,men,500 Free,captured,yes,prelim_fallback,,24,24,16,yes
pcsc_2026,PCSC,2026,men,1000 Free,captured,yes,prelim_fallback,,18,18,16,yes
pcsc_2026,PCSC,2026,men,1650 Free,captured,yes,prelim_fallback,,12,12,16,yes
pcsc_2026,PCSC,2026,men,100 Back,captured,yes,prelim_fallback,,25,50,16,yes
pcsc_2026,PCSC,2026,men,200 Back,captured,yes,prelim_fallback,,17,17,16,yes
pcsc_2026,PCSC,2026,men,100 Breast,captured,yes,prelim_fallback,,20,22,16,yes
pcsc_2026,PCSC,2026,men,200 Breast,captured,yes,prelim_fallback,,18,18,16,yes
pcsc_2026,PCSC,2026,men,100 Fly,captured,yes,prelim_fallback,,36,36,16,yes
pcsc_2026,PCSC,2026,men,200 Fly,captured,yes,prelim_fallback,,16,16,16,yes
pcsc_2026,PCSC,2026,men,200 IM,captured,yes,prelim_fallback,,18,48,16,yes
pcsc_2026,PCSC,2026,men,400 IM,captured,yes,prelim_fallback,,17,17,16,yes
pcsc_2026,PCSC,2026,women,50 Free,captured,yes,prelim_fallback,,56,64,16,yes
pcsc_2026,PCSC,2026,women,100 Free,captured,yes,prelim_fallback,,39,64,16,yes
pcsc_2026,PCSC,2026,women,200 Free,captured,yes,prelim_fallback,,24,24,16,yes
pcsc_2026,PCSC,2026,women,500 Free,captured,yes,prelim_fallback,,37,42,16,yes
pcsc_2026,PCSC,2026,women,1000 Free,captured,yes,prelim_fallback,,37,37,16,yes
pcsc_2026,PCSC,2026,women,1650 Free,captured,yes,prelim_fallback,,28,28,16,yes
pcsc_2026,PCSC,2026,women,100 Back,captured,yes,prelim_fallback,,24,24,16,yes
pcsc_2026,PCSC,2026,women,200 Back,captured,yes,prelim_fallback,,30,30,16,yes
pcsc_2026,PCSC,2026,women,100 Breast,captured,yes,prelim_fallback,,39,40,16,yes
pcsc_2026,PCSC,2026,women,200 Breast,captured,yes,prelim_fallback,,31,33,16,yes
pcsc_2026,PCSC,2026,women,100 Fly,captured,yes,prelim_fallback,,23,52,16,yes
pcsc_2026,PCSC,2026,women,200 Fly,captured,yes,prelim_fallback,,24,24,16,yes
pcsc_2026,PCSC,2026,women,200 IM,captured,yes,prelim_fallback,,24,24,16,yes
pcsc_2026,PCSC,2026,women,400 IM,captured,yes,prelim_fallback,,28,30,16,yes
