Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
sciac_2026,SCIAC,2026,men,50 Free,captured,yes,finals,,16,16,16,yes
sciac_2026,SCIAC,2026,men,100 Free,captured,yes,finals,,27,37,16,yes
sciac_2026,SCIAC,2026,men,200 Free,captured,yes,finals,,21,29,16,yes
sciac_2026,SCIAC,2026,men,500 Free,captured,yes,finals,,30,30,16,yes
sciac_2026,SCIAC,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
sciac_2026,SCIAC,2026,men,1650 Free,captured,yes,finals,,16,16,16,yes
sciac_2026,SCIAC,2026,men,100 Back,captured,yes,finals,,14,16,16,yes
sciac_2026,SCIAC,2026,men,200 Back,captured,yes,finals,,16,16,16,yes
sciac_2026,SCIAC,2026,men,100 Breast,captured,yes,finals,,23,31,16,yes
sciac_2026,SCIAC,2026,men,200 Breast,captured,yes,finals,,24,32,16,yes
sciac_2026,SCIAC,2026,men,100 Fly,captured,yes,finals,,20,30,16,yes
sciac_2026,SCIAC,2026,men,200 Fly,captured,yes,finals,,19,28,16,yes
sciac_2026,SCIAC,2026,men,200 IM,captured,yes,finals,,30,40,16,yes
sciac_2026,SCIAC,2026,men,400 IM,captured,yes,finals,,24,24,16,yes
sciac_2026,SCIAC,2026,women,50 Free,captured,yes,finals,,16,16,16,yes
sciac_2026,SCIAC,2026,women,100 Free,captured,yes,finals,,34,44,16,yes
sciac_2026,SCIAC,2026,women,200 Free,captured,yes,finals,,34,42,16,yes
sciac_2026,SCIAC,2026,women,500 Free,captured,yes,finals,,29,38,16,yes
sciac_2026,SCIAC,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
sciac_2026,SCIAC,2026,women,1650 Free,captured,yes,finals,,23,23,16,yes
sciac_2026,SCIAC,2026,women,100 Back,captured,yes,finals,,16,16,16,yes
sciac_2026,SCIAC,2026,women,200 Back,captured,yes,finals,,20,28,16,yes
sciac_2026,SCIAC,2026,women,100 Breast,captured,yes,finals,,16,16,16,yes
sciac_2026,SCIAC,2026,women,200 Breast,captured,yes,finals,,20,28,16,yes
sciac_2026,SCIAC,2026,women,100 Fly,captured,yes,finals,,28,28,16,yes
sciac_2026,SCIAC,2026,women,200 Fly,captured,yes,finals,,16,16,16,yes
sciac_2026,SCIAC,2026,women,200 IM,captured,yes,finals,,26,34,16,yes
sciac_2026,SCIAC,2026,women,400 IM,captured,yes,finals,,21,21,16,yes
