Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
sec_2026,SEC,2026,men,50 Free,captured,yes,finals,,57,63,16,yes
sec_2026,SEC,2026,men,100 Free,captured,yes,finals,,60,64,16,yes
sec_2026,SEC,2026,men,200 Free,captured,yes,finals,,58,58,16,yes
sec_2026,SEC,2026,men,500 Free,captured,yes,finals,,46,48,16,yes
sec_2026,SEC,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
sec_2026,SEC,2026,men,1650 Free,captured,yes,finals,,26,26,16,yes
sec_2026,SEC,2026,men,100 Back,captured,yes,finals,,37,46,16,yes
sec_2026,SEC,2026,men,200 Back,captured,yes,finals,,31,31,16,yes
sec_2026,SEC,2026,men,100 Breast,captured,yes,finals,,36,52,16,yes
sec_2026,SEC,2026,men,200 Breast,captured,yes,finals,,37,39,16,yes
sec_2026,SEC,2026,men,100 Fly,captured,yes,finals,,55,55,16,yes
sec_2026,SEC,2026,men,200 Fly,captured,yes,finals,,36,37,16,yes
sec_2026,SEC,2026,men,200 IM,captured,yes,finals,,37,37,16,yes
sec_2026,SEC,2026,men,400 IM,captured,yes,finals,,32,32,16,yes
sec_2026,SEC,2026,women,50 Free,captured,yes,finals,,52,64,16,yes
sec_2026,SEC,2026,women,100 Free,captured,yes,finals,,58,64,16,yes
sec_2026,SEC,2026,women,200 Free,captured,yes,finals,,60,62,16,yes
sec_2026,SEC,2026,women,500 Free,captured,yes,finals,,55,55,16,yes
sec_2026,SEC,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
sec_2026,SEC,2026,women,1650 Free,captured,yes,finals,,28,28,16,yes
sec_2026,SEC,2026,women,100 Back,captured,yes,finals,,46,52,16,yes
sec_2026,SEC,2026,women,200 Back,captured,yes,finals,,48,52,16,yes
sec_2026,SEC,2026,women,100 Breast,captured,yes,finals,,46,46,16,yes
sec_2026,SEC,2026,women,200 Breast,captured,yes,finals,,47,47,16,yes
sec_2026,SEC,2026,women,100 Fly,captured,yes,finals,,56,64,16,yes
sec_2026,SEC,2026,women,200 Fly,captured,yes,finals,,37,39,16,yes
sec_2026,SEC,2026,women,200 IM,captured,yes,finals,,54,56,16,yes
sec_2026,SEC,2026,women,400 IM,captured,yes,finals,,45,45,16,yes
