Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
summitleague_2026,Summit League,2026,men,50 Free,captured,yes,finals,,45,51,16,yes
summitleague_2026,Summit League,2026,men,100 Free,captured,yes,finals,,44,44,16,yes
summitleague_2026,Summit League,2026,men,200 Free,captured,yes,finals,,35,35,16,yes
summitleague_2026,Summit League,2026,men,500 Free,captured,yes,finals,,32,32,16,yes
summitleague_2026,Summit League,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
summitleague_2026,Summit League,2026,men,1650 Free,captured,yes,finals,,19,19,16,yes
summitleague_2026,Summit League,2026,men,100 Back,captured,yes,finals,,23,24,16,yes
summitleague_2026,Summit League,2026,men,200 Back,captured,yes,finals,,21,21,16,yes
summitleague_2026,Summit League,2026,men,100 Breast,captured,yes,finals,,27,52,16,yes
summitleague_2026,Summit League,2026,men,200 Breast,captured,yes,finals,,26,26,16,yes
summitleague_2026,Summit League,2026,men,100 Fly,captured,yes,finals,,30,46,16,yes
summitleague_2026,Summit League,2026,men,200 Fly,captured,yes,finals,,27,27,16,yes
summitleague_2026,Summit League,2026,men,200 IM,captured,yes,finals,,39,39,16,yes
summitleague_2026,Summit League,2026,men,400 IM,captured,yes,finals,,29,29,16,yes
summitleague_2026,Summit League,2026,women,50 Free,captured,yes,finals,,43,43,16,yes
summitleague_2026,Summit League,2026,women,100 Free,captured,yes,finals,,37,48,16,yes
summitleague_2026,Summit League,2026,women,200 Free,captured,yes,finals,,31,31,16,yes
summitleague_2026,Summit League,2026,women,500 Free,captured,yes,finals,,31,31,16,yes
summitleague_2026,Summit League,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
summitleague_2026,Summit League,2026,women,1650 Free,captured,yes,finals,,20,20,16,yes
summitleague_2026,Summit League,2026,women,100 Back,captured,yes,finals,,31,52,16,yes
summitleague_2026,Summit League,2026,women,200 Back,captured,yes,finals,,29,29,16,yes
summitleague_2026,Summit League,2026,women,100 Breast,captured,yes,finals,,22,24,16,yes
summitleague_2026,Summit League,2026,women,200 Breast,captured,yes,finals,,24,24,16,yes
summitleague_2026,Summit League,2026,women,100 Fly,captured,yes,finals,,25,52,16,yes
summitleague_2026,Summit League,2026,women,200 Fly,captured,yes,finals,,16,16,16,yes
summitleague_2026,Summit League,2026,women,200 IM,captured,yes,finals,,36,36,16,yes
summitleague_2026,Summit League,2026,women,400 IM,captured,yes,finals,,18,18,16,yes
