Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
uaa_2026,UAA,2026,men,50 Free,captured,yes,finals,,20,24,16,yes
uaa_2026,UAA,2026,men,100 Free,captured,yes,finals,,34,44,16,yes
uaa_2026,UAA,2026,men,200 Free,captured,yes,finals,,22,24,16,yes
uaa_2026,UAA,2026,men,500 Free,captured,yes,finals,,31,35,16,yes
uaa_2026,UAA,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
uaa_2026,UAA,2026,men,1650 Free,captured,yes,finals,,21,21,16,yes
uaa_2026,UAA,2026,men,100 Back,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,men,200 Back,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,men,100 Breast,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,men,200 Breast,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,men,100 Fly,captured,yes,finals,,27,36,16,yes
uaa_2026,UAA,2026,men,200 Fly,captured,yes,finals,,33,33,16,yes
uaa_2026,UAA,2026,men,200 IM,captured,yes,finals,,29,48,16,yes
uaa_2026,UAA,2026,men,400 IM,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,women,50 Free,captured,yes,finals,,49,57,16,yes
uaa_2026,UAA,2026,women,100 Free,captured,yes,finals,,29,50,16,yes
uaa_2026,UAA,2026,women,200 Free,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,women,500 Free,captured,yes,finals,,39,41,16,yes
uaa_2026,UAA,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
uaa_2026,UAA,2026,women,1650 Free,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,women,100 Back,captured,yes,finals,,22,24,16,yes
uaa_2026,UAA,2026,women,200 Back,captured,yes,finals,,29,34,16,yes
uaa_2026,UAA,2026,women,100 Breast,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,women,200 Breast,captured,yes,finals,,27,30,16,yes
uaa_2026,UAA,2026,women,100 Fly,captured,yes,finals,,26,39,16,yes
uaa_2026,UAA,2026,women,200 Fly,captured,yes,finals,,24,24,16,yes
uaa_2026,UAA,2026,women,200 IM,captured,yes,finals,,42,42,16,yes
uaa_2026,UAA,2026,women,400 IM,captured,yes,finals,,24,24,16,yes
