Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
unknown_2026,Unknown,2026,men,50 Free,captured,yes,finals,,17,19,16,yes
unknown_2026,Unknown,2026,men,100 Free,captured,yes,finals,,23,42,16,yes
unknown_2026,Unknown,2026,men,200 Free,captured,yes,finals,,16,16,16,yes
unknown_2026,Unknown,2026,men,500 Free,captured,yes,finals,,24,24,16,yes
unknown_2026,Unknown,2026,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
unknown_2026,Unknown,2026,men,1650 Free,captured,yes,finals,,23,23,16,yes
unknown_2026,Unknown,2026,men,100 Back,captured,yes,finals,,23,46,16,yes
unknown_2026,Unknown,2026,men,200 Back,captured,yes,finals,,16,25,16,yes
unknown_2026,Unknown,2026,men,100 Breast,missing_true_parser_miss,no,missing,event_detected_but_incomplete,13,52,16,yes
unknown_2026,Unknown,2026,men,200 Breast,captured,yes,finals,,13,13,16,yes
unknown_2026,Unknown,2026,men,100 Fly,missing_true_parser_miss,no,missing,event_detected_but_incomplete,15,46,16,yes
unknown_2026,Unknown,2026,men,200 Fly,captured,yes,finals,,24,24,16,yes
unknown_2026,Unknown,2026,men,200 IM,captured,yes,finals,,21,24,16,yes
unknown_2026,Unknown,2026,men,400 IM,captured,yes,finals,,13,13,16,yes
unknown_2026,Unknown,2026,women,50 Free,missing_true_parser_miss,no,missing,event_detected_but_incomplete,12,34,16,yes
unknown_2026,Unknown,2026,women,100 Free,missing_true_parser_miss,no,missing,event_detected_but_incomplete,15,48,16,yes
unknown_2026,Unknown,2026,women,200 Free,captured,yes,finals,,25,26,16,yes
unknown_2026,Unknown,2026,women,500 Free,missing_true_parser_miss,no,missing,event_detected_but_incomplete,17,24,16,yes
unknown_2026,Unknown,2026,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
unknown_2026,Unknown,2026,women,1650 Free,missing_true_parser_miss,no,missing,event_detected_but_incomplete,14,17,16,yes
unknown_2026,Unknown,2026,women,100 Back,missing_true_parser_miss,no,missing,event_detected_but_incomplete,12,52,16,yes
unknown_2026,Unknown,2026,women,200 Back,captured,yes,finals,,13,13,16,yes
unknown_2026,Unknown,2026,women,100 Breast,missing_true_parser_miss,no,missing,event_detected_but_incomplete,8,31,16,yes
unknown_2026,Unknown,2026,women,200 Breast,missing_data_ceiling,no,missing,"data_ceiling — consecutive_depth: 4, swimmers: 4, target: 16",4,4,16,no
unknown_2026,Unknown,2026,women,100 Fly,missing_true_parser_miss,no,missing,event_detected_but_incomplete,13,52,16,yes
unknown_2026,Unknown,2026,women,200 Fly,missing_true_parser_miss,no,missing,event_detected_but_incomplete,14,19,16,yes
unknown_2026,Unknown,2026,women,200 IM,missing_data_ceiling,no,missing,"data_ceiling — consecutive_depth: 5, swimmers: 12, target: 16",12,14,16,no
unknown_2026,Unknown,2026,women,400 IM,missing_true_parser_miss,no,missing,event_detected_but_incomplete,10,18,16,yes
