Bundle_ID,Conference,Year,Gender,Event_Name,Coverage_Status,Detected,Source_Type,Notes,Swimmer_Count,Deepest_Place_Recovered,Target_Anchor_Place,Anchor_Depth_Achievable_YN
unknown_unknown,Unknown,unknown,men,50 Free,missing_true_parser_miss,no,missing,event_detected_but_incomplete,37,41,16,yes
unknown_unknown,Unknown,unknown,men,100 Free,captured,yes,finals,,35,44,16,yes
unknown_unknown,Unknown,unknown,men,200 Free,captured,yes,finals,,37,37,16,yes
unknown_unknown,Unknown,unknown,men,500 Free,captured,yes,finals,,35,35,16,yes
unknown_unknown,Unknown,unknown,men,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
unknown_unknown,Unknown,unknown,men,1650 Free,captured,yes,finals,,29,29,16,yes
unknown_unknown,Unknown,unknown,men,100 Back,captured,yes,finals,,31,49,16,yes
unknown_unknown,Unknown,unknown,men,200 Back,captured,yes,finals,,25,25,16,yes
unknown_unknown,Unknown,unknown,men,100 Breast,captured,yes,finals,,28,55,16,yes
unknown_unknown,Unknown,unknown,men,200 Breast,captured,yes,finals,,29,29,16,yes
unknown_unknown,Unknown,unknown,men,100 Fly,captured,yes,finals,,30,48,16,yes
unknown_unknown,Unknown,unknown,men,200 Fly,captured,yes,finals,,25,25,16,yes
unknown_unknown,Unknown,unknown,men,200 IM,captured,yes,finals,,27,27,16,yes
unknown_unknown,Unknown,unknown,men,400 IM,captured,yes,finals,,25,25,16,yes
unknown_unknown,Unknown,unknown,women,50 Free,captured,yes,finals,,36,38,16,yes
unknown_unknown,Unknown,unknown,women,100 Free,captured,yes,finals,,33,51,16,yes
unknown_unknown,Unknown,unknown,women,200 Free,captured,yes,finals,,32,32,16,yes
unknown_unknown,Unknown,unknown,women,500 Free,captured,yes,finals,,36,36,16,yes
unknown_unknown,Unknown,unknown,women,1000 Free,missing_optional_1000,no,not_required,optional_not_required,0,0,16,na
unknown_unknown,Unknown,unknown,women,1650 Free,captured,yes,finals,,23,23,16,yes
unknown_unknown,Unknown,unknown,women,100 Back,captured,yes,finals,,27,56,16,yes
unknown_unknown,Unknown,unknown,women,200 Back,captured,yes,finals,,23,23,16,yes
unknown_unknown,Unknown,unknown,women,100 Breast,captured,yes,finals,,27,59,16,yes
unknown_unknown,Unknown,unknown,women,200 Breast,captured,yes,finals,,19,19,16,yes
unknown_unknown,Unknown,unknown,women,100 Fly,captured,yes,finals,,27,55,16,yes
unknown_unknown,Unknown,unknown,women,200 Fly,captured,yes,finals,,17,17,16,yes
unknown_unknown,Unknown,unknown,women,200 IM,captured,yes,finals,,26,26,16,yes
unknown_unknown,Unknown,unknown,women,400 IM,captured,yes,finals,,18,18,16,yes
