bundle_id,conference,selected_pdf,candidate_pages_scanned,section_found,rows_captured,genders_found,parse_status,notes
acc_2026,ACC,2026_acc_championship_full_meet_results.pdf,10,True,30,men|women,captured_complete,
americaeast_2026,America East,america east 2026_meet_results.pdf,10,True,13,men|women,captured_complete,
asun_2026,ASUN,2026 ASUN full_meet_results.pdf,10,True,15,men|women,captured_complete,
atlantic10_2026,Atlantic 10,2026_A_10_Swimming_Diving_Championships_Final_Results.pdf,10,True,17,men|women,captured_complete,
big12_unknown,Big 12,Big_12_S_D_Champ_Results_pdf.pdf,10,True,17,men|women,captured_complete,
bigeast_2026,Big East,big east 2026_full_results.pdf,10,True,12,men|women,captured_complete,
bigten_2026,Big Ten,mens 2026 Big 10 saturday_results_-_all__1_.pdf,40,True,23,men|women,captured_complete,
bigwest_2026,Big West,2026_big_west_saturday_final_results.pdf,40,True,13,men|women,captured_complete,
caa_2026,CAA,caa 2026 saturday results.pdf,34,True,13,men|women,captured_complete,
cciw_2026,CCIW,CCIW_2026_Final_Results.pdf,10,True,14,men|women,captured_complete,
coloradocollege_unknown,Colorado College,CC_Champs_Final_Results_2_22_26.pdf,10,True,17,men|women,captured_complete,
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,10,True,14,men|women,captured_complete,
horizonleague_2026,Horizon League,full_meet_results_horizon_league_2026.pdf,10,True,14,men|women,captured_complete,
ivyleague_2026,Ivy League,2026 Ivy Womens Conf.pdf,80,True,8,women,captured_partial,only_women_found
landmark_2026,Landmark,landmark_champs_2026_final_full_results.pdf,10,True,20,men|women,captured_complete,
maac_2026,MAAC,2026_MAAC_S_D_Championships_Day_4_finals_results (1).pdf,49,True,21,men|women,captured_complete,
mac_2026,MAC,2026 MAC MENS full_meet_results.pdf,20,True,22,men|women,captured_complete,
miac_2026,MIAC,,73,False,0,,section_not_found,
mpsf_2026,MPSF,MPSF 2026 RESULTS.pdf,10,True,15,men|women,captured_complete,
nescac_2026,NESCAC,2026 NESCAC MENS RESULTS.pdf,20,True,22,men|women,captured_complete,
newmac_2026,NEWMAC,2026_newmac_championships_full_results.pdf,10,True,17,men|women,captured_complete,
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,20,True,10,women,captured_partial,only_women_found
patriot_2026,Patriot,Patriot League 2026 results.pdf,10,True,20,men|women,captured_complete,
pcsc_2026,PCSC,,52,False,0,,section_not_found,
psac_2026,PSAC,PSAC 2026 RESULTS.pdf,10,True,20,men|women,captured_complete,
sac_2026,SAC,SAC 2026 sat_final_results.pdf,40,True,10,men|women,captured_complete,
sciac_2026,SCIAC,2026_sciac_conference_results.pdf,10,True,18,men|women,captured_complete,
sec_2026,SEC,2026-SEC-Complete-Results.pdf,10,True,24,men|women,captured_complete,
summitleague_2026,Summit League,SUMMIT LEAGUE 2026 RESULTS.pdf,10,True,14,men|women,captured_complete,
uaa_2026,UAA,2026 UAA Championships-FullSWIMResults.pdf,10,True,16,men|women,captured_complete,
unknown_2026,Unknown,2026_ll_full_results.pdf,40,True,20,men|women,captured_complete,
unknown_unknown,Unknown,NCACSwimDiveChamps-FinalResults2026.pdf.pdf,10,True,17,men|women,captured_complete,
wac_2025,WAC,WAC 2025 RESULTS.pdf,10,True,15,men|women,captured_complete,
