Conference,Year,Gender,Bundle_ID,Team,Team_Score,Source_File
MIAC,2026,men,miac_2026,Augsburg University Augsburg University,41,2026 MIAC TEAM SCORES.pdf
MIAC,2026,men,miac_2026,Concordia College Concordia College,114,2026 MIAC TEAM SCORES.pdf
MIAC,2026,men,miac_2026,Hamline University Hamline University,128,2026 MIAC TEAM SCORES.pdf
MIAC,2026,men,miac_2026,College of Saint Benedict College of Saint Benedict,467,2026 MIAC TEAM SCORES.pdf
MIAC,2026,men,miac_2026,Gustavus Adolphus College Gustavus Adolphus College,788,2026 MIAC TEAM SCORES.pdf
MIAC,2026,women,miac_2026,Gustavus Adolphus College Gustavus Adolphus College,788,2026 MIAC TEAM SCORES.pdf
MIAC,2026,women,miac_2026,College of Saint Benedict College of Saint Benedict,467,2026 MIAC TEAM SCORES.pdf
MIAC,2026,women,miac_2026,Hamline University Hamline University,128,2026 MIAC TEAM SCORES.pdf
MIAC,2026,women,miac_2026,Concordia College Concordia College,114,2026 MIAC TEAM SCORES.pdf
MIAC,2026,women,miac_2026,Augsburg University Augsburg University,41,2026 MIAC TEAM SCORES.pdf
