bundle_id,conference,gender,number_of_teams,winner,champion_score,total_meet_points,tier_1a_count,tier_1b_count,tier_2_count,tier_3_count,tier_4_count
acc_2026,ACC,men,15,"California, University of, Ber",1154.0,8602.0,0,2,3,5,5
acc_2026,ACC,women,15,"Virginia, University of",1410.5,8862.0,0,1,4,2,8
americaeast_2026,America East,men,6,University of Maryland Baltimo,805.5,3249.0,1,1,1,3,0
americaeast_2026,America East,women,7,Bryant University,775.0,3370.0,0,2,1,3,1
asun_2026,ASUN,men,6,Florida Atlantic University,782.5,3307.0,0,3,0,2,1
asun_2026,ASUN,women,9,Delaware,1627.0,7995.0,0,2,1,3,3
atlantic10_2026,Atlantic 10,men,7,George Washington University,784.83,3344.99,0,1,2,4,0
atlantic10_2026,Atlantic 10,women,10,University of Richmond,600.0,3651.0,0,3,2,3,2
big12_unknown,Big 12,men,7,Arizona State University,1898.5,7976.0,0,1,2,3,1
big12_unknown,Big 12,women,10,Arizona State University,1660.5,8686.0,0,2,1,4,3
bigeast_2026,Big East,men,5,Georgetown University,910.5,3009.0,1,0,3,0,1
bigeast_2026,Big East,women,7,Villanova University,1754.0,7242.0,1,1,1,1,3
bigten_2026,Big Ten,men,9,Indiana University,1544.5,8021.0,0,1,2,5,1
bigten_2026,Big Ten,women,14,"Michigan, University of",1243.0,8812.0,0,3,2,4,5
bigwest_2026,Big West,men,6,University of Hawaii,780.0,3300.0,0,2,2,2,0
bigwest_2026,Big West,women,7,University of Hawaii,798.0,3473.0,0,2,2,1,2
caa_2026,CAA,men,5,University of North Carolina W,852.0,3073.0,2,0,1,1,1
caa_2026,CAA,women,8,William and Mary,1647.0,7382.0,0,2,1,2,3
cciw_2026,CCIW,men,7,Augustana College,1036.0,3263.0,1,0,2,0,4
cciw_2026,CCIW,women,7,Wheaton College,818.0,3403.0,2,1,1,0,3
coloradocollege_unknown,Colorado College,men,8,Johns Hopkins University,940.5,3513.0,1,0,2,0,5
coloradocollege_unknown,Colorado College,women,9,Swarthmore College,819.0,3472.0,0,2,1,1,5
gliac_2026,GLIAC,men,8,Grand Valley State University,847.5,3637.0,0,1,2,3,2
gliac_2026,GLIAC,women,6,Grand Valley State University,1095.0,3241.0,1,0,1,3,1
horizonleague_2026,Horizon League,men,7,Oakland University,904.0,3356.0,1,1,0,3,2
horizonleague_2026,Horizon League,women,7,Oakland University,896.5,3344.0,1,0,1,3,2
ivyleague_2026,Ivy League,men,8,Princeton University,1474.0,7841.0,0,2,2,4,0
ivyleague_2026,Ivy League,women,8,Princeton University,1432.0,7455.0,0,1,3,4,0
landmark_2026,Landmark,men,10,Catholic University of America,877.5,3493.0,1,1,1,0,7
landmark_2026,Landmark,women,10,University of Scranton,887.0,3571.0,2,0,0,2,6
maac_2026,MAAC,men,9,Fairfield University,1341.83,7513.99,0,2,3,2,2
maac_2026,MAAC,women,12,Fairfield University,1325.5,8180.0,0,2,2,4,4
mac_2026,MAC,men,11,Stevens Institute of Technolog,1623.0,7918.0,0,2,0,5,4
mac_2026,MAC,women,11,Stevens Institute of Technolog,1516.0,8019.0,0,1,3,3,4
miac_2026,MIAC,men,6,Gustavus Adolphus College,953.0,3210.0,1,0,1,3,1
miac_2026,MIAC,women,9,Gustavus Adolphus College,788.0,3541.0,0,1,3,1,4
mpsf_2026,MPSF,men,5,US Air Force Academy,819.5,3112.0,2,1,1,1,0
mpsf_2026,MPSF,women,10,Northern Arizona University,1350.0,8008.0,0,3,2,2,3
nescac_2026,NESCAC,men,11,Williams College,1599.0,10060.0,0,2,3,4,2
nescac_2026,NESCAC,women,11,Williams College,1725.5,10302.0,0,2,2,3,4
newmac_2026,NEWMAC,men,7,Massachusetts Institute of Tec,1481.5,5228.0,1,0,1,3,2
newmac_2026,NEWMAC,women,10,Massachusetts Institute of Tec,1632.5,5805.0,1,0,0,2,7
odac_2026,ODAC,men,9,Washington and Lee University,861.5,3180.0,1,0,1,3,4
odac_2026,ODAC,women,10,Washington and Lee University,840.0,3243.0,1,0,2,2,5
patriot_2026,Patriot,men,10,United States Navy Academy,1792.0,7810.0,0,1,1,3,5
patriot_2026,Patriot,women,10,United States Navy Academy,1427.5,7858.0,0,2,2,4,2
pcsc_2026,PCSC,men,9,"University of California, Sant",1917.5,7232.0,1,1,0,2,5
pcsc_2026,PCSC,women,12,"California State University, E",1353.5,8140.0,0,2,2,3,5
psac_2026,PSAC,men,8,West Chester University,1050.0,3350.0,1,0,0,3,4
