bundle_id,conference,gender,rank,team,score,champion_score,total_meet_points,champion_ratio,meet_share,base_tier,power_class,final_tier
acc_2026,ACC,men,1,"California, University of, Ber",1154.0,1154.0,8602.0,1.0,0.134155,Tier 1,Powerhouse,Tier 1B
acc_2026,ACC,men,2,Stanford University,1076.0,1154.0,8602.0,0.932409,0.125087,Tier 1,Powerhouse,Tier 1B
acc_2026,ACC,men,3,North Carolina State Universit,973.0,1154.0,8602.0,0.843154,0.113113,Tier 2,,Tier 2
acc_2026,ACC,men,4,"Louisville, University of",844.0,1154.0,8602.0,0.731369,0.098117,Tier 2,,Tier 2
acc_2026,ACC,men,5,VA Tech,715.5,1154.0,8602.0,0.620017,0.083178,Tier 2,,Tier 2
acc_2026,ACC,men,6,Florida State University,624.5,1154.0,8602.0,0.541161,0.072599,Tier 3,,Tier 3
acc_2026,ACC,men,7,"Virginia, University of",577.5,1154.0,8602.0,0.500433,0.067136,Tier 3,,Tier 3
acc_2026,ACC,men,8,"North Carolina, University of",572.5,1154.0,8602.0,0.496101,0.066554,Tier 3,,Tier 3
acc_2026,ACC,men,9,"Notre Dame, University of",488.0,1154.0,8602.0,0.422877,0.056731,Tier 3,,Tier 3
acc_2026,ACC,men,10,Southern Methodist University,407.0,1154.0,8602.0,0.352686,0.047315,Tier 3,,Tier 3
acc_2026,ACC,men,11,"Pittsburgh, University of",401.0,1154.0,8602.0,0.347487,0.046617,Tier 4,,Tier 4
acc_2026,ACC,men,12,Georgia Institute of Technolog,357.0,1154.0,8602.0,0.309359,0.041502,Tier 4,,Tier 4
acc_2026,ACC,men,13,University of Miami (Florida),162.0,1154.0,8602.0,0.140381,0.018833,Tier 4,,Tier 4
acc_2026,ACC,men,14,Duke University,138.0,1154.0,8602.0,0.119584,0.016043,Tier 4,,Tier 4
acc_2026,ACC,men,15,Boston College,112.0,1154.0,8602.0,0.097054,0.01302,Tier 4,,Tier 4
acc_2026,ACC,women,1,"Virginia, University of",1410.5,1410.5,8862.0,1.0,0.159163,Tier 1,Powerhouse,Tier 1B
acc_2026,ACC,women,2,Stanford University,1039.0,1410.5,8862.0,0.736618,0.117242,Tier 2,,Tier 2
acc_2026,ACC,women,3,"California, University of, Ber",1027.5,1410.5,8862.0,0.728465,0.115944,Tier 2,,Tier 2
acc_2026,ACC,women,4,"Louisville, University of",925.0,1410.5,8862.0,0.655796,0.104378,Tier 2,,Tier 2
acc_2026,ACC,women,5,North Carolina State Universit,851.5,1410.5,8862.0,0.603687,0.096084,Tier 2,,Tier 2
acc_2026,ACC,women,6,"Pittsburgh, University of",552.0,1410.5,8862.0,0.391351,0.062288,Tier 3,,Tier 3
acc_2026,ACC,women,7,"North Carolina, University of",522.5,1410.5,8862.0,0.370436,0.05896,Tier 3,,Tier 3
acc_2026,ACC,women,8,Duke University,432.5,1410.5,8862.0,0.306629,0.048804,Tier 4,,Tier 4
acc_2026,ACC,women,9,VA Tech,409.5,1410.5,8862.0,0.290323,0.046209,Tier 4,,Tier 4
acc_2026,ACC,women,10,Florida State University,371.0,1410.5,8862.0,0.263027,0.041864,Tier 4,,Tier 4
acc_2026,ACC,women,11,"Notre Dame, University of",366.0,1410.5,8862.0,0.259482,0.0413,Tier 4,,Tier 4
acc_2026,ACC,women,12,University of Miami (Florida),322.0,1410.5,8862.0,0.228288,0.036335,Tier 4,,Tier 4
acc_2026,ACC,women,13,Georgia Institute of Technolog,274.0,1410.5,8862.0,0.194257,0.030919,Tier 4,,Tier 4
acc_2026,ACC,women,14,Southern Methodist University,261.0,1410.5,8862.0,0.185041,0.029452,Tier 4,,Tier 4
acc_2026,ACC,women,15,Boston College,98.0,1410.5,8862.0,0.069479,0.011058,Tier 4,,Tier 4
americaeast_2026,America East,men,1,University of Maryland Baltimo,805.5,805.5,3249.0,1.0,0.247922,Tier 1,Super Powerhouse,Tier 1A
americaeast_2026,America East,men,2,Binghamton University,748.0,805.5,3249.0,0.928616,0.230225,Tier 1,Powerhouse,Tier 1B
americaeast_2026,America East,men,3,Bryant University,572.5,805.5,3249.0,0.710739,0.176208,Tier 2,,Tier 2
americaeast_2026,America East,men,4,Virginia Military Institute,423.0,805.5,3249.0,0.52514,0.130194,Tier 3,,Tier 3
americaeast_2026,America East,men,5,New Jersey Institute of Techno,353.0,805.5,3249.0,0.438237,0.108649,Tier 3,,Tier 3
americaeast_2026,America East,men,6,"Maine, University of",347.0,805.5,3249.0,0.430788,0.106802,Tier 3,,Tier 3
americaeast_2026,America East,women,1,Bryant University,775.0,775.0,3370.0,1.0,0.22997,Tier 1,Powerhouse,Tier 1B
americaeast_2026,America East,women,2,"New Hampshire, University of",660.0,775.0,3370.0,0.851613,0.195846,Tier 1,Powerhouse,Tier 1B
