Source_File,Page_Number,Raw_Line_Text,Line_Type,Event_Name_Normalized,Gender_Normalized,Round_Normalized,Event_State_Before,Event_State_Action,Event_State_After,Attached_To_Event_YN,Rejection_Reason,Notes
WAC 2025 RESULTS.pdf,1,"3) r:0.31 Cabrera, Silvana 5Y 4) r:0.18 Haskins, Ella SR A - Final",final_type_label,—,—,A,None/None  ft=unknown,ft_label: unknown→A,acc=0places,no,,NOTE: merged_col_label may hide swimmer data on same line
WAC 2025 RESULTS.pdf,1,r:13.26 25.92 29.20 25.03 23.05 B - Final,final_type_label,—,—,B,None/None  ft=A,ft_label: A→B,acc=0places,no,,NOTE: merged_col_label may hide swimmer data on same line
WAC 2025 RESULTS.pdf,3,A - Final 1:28.42 A Standard,final_type_label,—,—,A,None/None  ft=B,ft_label: B→A,acc=0places,no,,NOTE: merged_col_label may hide swimmer data on same line
WAC 2025 RESULTS.pdf,3,"B - Final 3) r:0.06 Ruble, Grace JR 4) r:0.15 Haskins, Ella SR",final_type_label,—,—,B,None/None  ft=A,ft_label: A→B,acc=0places,no,,NOTE: merged_col_label may hide swimmer data on same line
WAC 2025 RESULTS.pdf,4,A - Final,final_type_label,—,—,A,None/None  ft=B,ft_label: B→A,acc=0places,no,,NOTE: merged_col_label may hide swimmer data on same line
WAC 2025 RESULTS.pdf,4,8 UTU 1:33.37 22 B - Final,final_type_label,—,—,B,None/None  ft=A,ft_label: A→B,acc=0places,no,,NOTE: merged_col_label may hide swimmer data on same line
WAC 2025 RESULTS.pdf,12,Event 14 Women 50 Yard Freestyle,event_header,50 Free,women,none,200 IM/men  ft=unknown,FINALIZE(200 IM/men) → OPEN(50 Free/women),acc=42places,no,,ft_in_hdr=None
WAC 2025 RESULTS.pdf,12,"10 Dooling, Carter JR GCU 1:48.70 q",result_row,50 Free,women,unknown,50 Free/women  ft=unknown,place=10 (raw=10+off=0) time=1:48.70,acc=42places,yes,,running_total=1
WAC 2025 RESULTS.pdf,12,"11 Nagle, Tommy SR AFA 1:48.74 q 21.58 A Standard",result_row,50 Free,women,unknown,50 Free/women  ft=unknown,place=11 (raw=11+off=0) time=21.58,acc=42places,yes,,running_total=2
WAC 2025 RESULTS.pdf,12,"12 Adamson, Kyle SO UNLV 1:49.07 q Name Y r School Finals Time",result_row,50 Free,women,unknown,50 Free/women  ft=unknown,place=12 (raw=12+off=0) time=1:49.07,acc=42places,yes,,running_total=3
WAC 2025 RESULTS.pdf,12,r:12.76 23.52 26.47 31.83 27.25 A - Final,final_type_label,50 Free,women,A,50 Free/women  ft=unknown,ft_label: unknown→A,acc=42places,no,,NOTE: merged_col_label may hide swimmer data on same line
WAC 2025 RESULTS.pdf,12,"13 Chadderdon, Kellan 5Y WYO 1:49.17 q 1 Maksimova, Sofia 5Y CBU 22.19 B",result_row,50 Free,women,A,50 Free/women  ft=A,place=13 (raw=13+off=0) time=22.19,acc=42places,yes,,running_total=4
WAC 2025 RESULTS.pdf,12,"14 Houk, Harper 5Y GCU 1:49.20 q 2 Trionfetti, Martina Yuki SO UNC 22.81 17",result_row,50 Free,women,A,50 Free/women  ft=A,place=14 (raw=14+off=0) time=22.81,acc=42places,yes,,running_total=5
WAC 2025 RESULTS.pdf,12,"15 Knox, Cameron SO WYO 1:49.36 q 3 Dobbins, Emily SO NMSU 22.99 16",result_row,50 Free,women,A,50 Free/women  ft=A,place=15 (raw=15+off=0) time=22.99,acc=42places,yes,,running_total=6
