conference,gender,team,rank,score,champion_ratio,meet_share,final_tier,tier_short,generated_at,snapshot_version
ACC,men,"California, University of, Ber",1,1154.0,1.0,0.134155,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,Stanford University,2,1076.0,0.932409,0.125087,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,North Carolina State Universit,3,973.0,0.843154,0.113113,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,"Louisville, University of",4,844.0,0.731369,0.098117,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,VA Tech,5,715.5,0.620017,0.083178,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,Florida State University,6,624.5,0.541161,0.072599,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,"Virginia, University of",7,577.5,0.500433,0.067136,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,"North Carolina, University of",8,572.5,0.496101,0.066554,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,"Notre Dame, University of",9,488.0,0.422877,0.056731,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,Southern Methodist University,10,407.0,0.352686,0.047315,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,"Pittsburgh, University of",11,401.0,0.347487,0.046617,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,Georgia Institute of Technolog,12,357.0,0.309359,0.041502,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,University of Miami (Florida),13,162.0,0.140381,0.018833,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,Duke University,14,138.0,0.119584,0.016043,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,men,Boston College,15,112.0,0.097054,0.01302,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,"Virginia, University of",1,1410.5,1.0,0.159163,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,Stanford University,2,1039.0,0.736618,0.117242,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,"California, University of, Ber",3,1027.5,0.728465,0.115944,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,"Louisville, University of",4,925.0,0.655796,0.104378,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,North Carolina State Universit,5,851.5,0.603687,0.096084,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,"Pittsburgh, University of",6,552.0,0.391351,0.062288,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,"North Carolina, University of",7,522.5,0.370436,0.05896,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,Duke University,8,432.5,0.306629,0.048804,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,VA Tech,9,409.5,0.290323,0.046209,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,Florida State University,10,371.0,0.263027,0.041864,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,women,"Notre Dame, University of",11,366.0,0.259482,0.0413,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
